key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	pause_battle	priority_level	high_verbosity_only	locatable	parameter	on_display_script	on_click_script	suppressible	uninhibitable	audio_clip	advisor_name	for_loading_screen	movie_link
40041	Region.Intro.vik_reg_guvan	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40042	Region.Intro.vik_reg_gyruum	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40043	Region.Intro.vik_reg_haestingas	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40044	Region.Intro.vik_reg_hlymrekr	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40046	Region.Intro.vik_reg_ioua	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40047	Region.Intro.vik_reg_lindcylne	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40048	Region.Intro.vik_reg_loidis	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40049	Region.Intro.vik_reg_lunden	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40050	Region.Intro.vik_reg_maeldune	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40051	Region.Intro.vik_reg_mameceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40052	Region.Intro.vik_reg_mathrafal	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40053	Region.Intro.vik_reg_nas	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40054	Region.Intro.vik_reg_northhamtun	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40055	Region.Intro.vik_reg_northwic	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40056	Region.Intro.vik_reg_otergimele	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40057	Region.Intro.vik_reg_rath_cruachan	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40058	Region.Intro.vik_reg_rendlesham	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40059	Region.Intro.vik_reg_rofeceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40060	Region.Intro.vik_reg_scoan	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40061	Region.Intro.vik_reg_seolesigge	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40062	Region.Intro.vik_reg_snotingaham	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40063	Region.Intro.vik_reg_steanford	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40064	Region.Intro.vik_reg_suthhamtun	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40065	Region.Intro.vik_reg_tamworthige	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40066	Region.Intro.vik_reg_tintagol	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40067	Region.Intro.vik_reg_tor_in_duine	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40068	Region.Intro.vik_reg_vedrafjordr	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40069	Region.Intro.vik_reg_veisafjordr	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40070	Region.Intro.vik_reg_waerincwicum	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40071	Region.Intro.vik_reg_werham	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40072	Region.Intro.vik_reg_wintanceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
