key	resource
vik_reg_bodmine_primary	res_vik_tin
vik_reg_bornais_port	res_vik_herring
vik_reg_bornais_primary	res_vik_fort
vik_reg_bornais_secondary	
vik_reg_brechin_primary	res_vik_leather
vik_reg_brideport_primary	res_vik_pottery
vik_reg_brug_primary	res_vik_farm
vik_reg_buccingahamm_primary	res_vik_pottery
vik_reg_cair_gwent_primary	res_vik_apple_gold
vik_reg_cair_gwent_secondary	
vik_reg_cair_mirddin_primary	res_vik_farm
vik_reg_cair_segeint_primary	res_vik_farm
vik_reg_cairlinn_port	res_vik_fish
vik_reg_cairlinn_primary	res_vik_leather
vik_reg_caisil_primary	res_vik_fort_cross_gold
vik_reg_caisil_secondary	
vik_reg_cantwaraburg_primary	res_vik_fort
vik_reg_cantwaraburg_secondary	
vik_reg_carleol_primary	res_vik_market
vik_reg_carleol_secondary	
vik_reg_casteltoun_port	res_vik_port
vik_reg_casteltoun_primary	res_vik_ship_gold
vik_reg_casteltoun_secondary	
vik_reg_cathair_commain_primary	res_vik_fort
vik_reg_cathair_commain_secondary	
vik_reg_cathair_domnaill_primary	res_vik_pottery
vik_reg_ceaster_primary	res_vik_market
vik_reg_ceaster_secondary	
vik_reg_cell_alaid_port	res_vik_fish
vik_reg_cell_alaid_primary	res_vik_silver
vik_reg_cell_cainning_primary	res_vik_leather
vik_reg_cell_daltain_port	res_vik_fish
vik_reg_cell_daltain_primary	res_vik_iron
vik_reg_cell_maic_aeda_primary	res_vik_farm
vik_reg_cell_mor_primary	res_vik_iron
vik_reg_celmeresfort_primary	res_vik_farm
vik_reg_cenannas_primary	res_vik_farm
vik_reg_cenannas_secondary	
vik_reg_cenn_rigmonid_port	res_vik_fish
vik_reg_cenn_rigmonid_primary	res_vik_leather
vik_reg_cetretha_primary	res_vik_fort
vik_reg_cetretha_secondary	
vik_reg_cherchebi_primary	res_vik_farm
vik_reg_cippanhamm_primary	res_vik_fort
vik_reg_cippanhamm_secondary	
vik_reg_cirenceaster_primary	res_vik_silver
vik_reg_cissanbyrig_primary	res_vik_iron
vik_reg_cissanbyrig_secondary	
vik_reg_clocher_primary	res_vik_farm
vik_reg_clocher_secondary	
vik_reg_cluain_eoais_primary	res_vik_pottery
vik_reg_cluain_iraird_primary	res_vik_farm
vik_reg_cluain_mac_nois_primary	res_vik_saint_gold
vik_reg_cluain_mac_nois_secondary	
vik_reg_cluain_mor_primary	res_vik_iron
vik_reg_cluain_primary	res_vik_cloth
vik_reg_cnodba_primary	res_vik_farm
vik_reg_coinnire_primary	res_vik_pottery
vik_reg_coldingaham_primary	res_vik_leather
vik_reg_colneceaster_primary	res_vik_fort
vik_reg_colneceaster_secondary	
vik_reg_corcach_port	res_vik_port
vik_reg_corcach_primary	res_vik_ship_gold
vik_reg_corcach_secondary	
vik_reg_cridiatune_primary	res_vik_leather
vik_reg_dacor_primary	res_vik_silver
vik_reg_dear_primary	res_vik_farm
vik_reg_deoraby_primary	res_vik_leather
vik_reg_deoraby_secondary	
vik_reg_din_prys_port	res_vik_fish
vik_reg_din_prys_primary	res_vik_leather
vik_reg_dinas_powis_primary	res_vik_silver
vik_reg_dinefwr_primary	res_vik_fort
vik_reg_dinefwr_secondary	
vik_reg_dofere_port	res_vik_trade
vik_reg_dofere_primary	res_vik_farm
vik_reg_domuc_primary	res_vik_farm
vik_reg_doneceaster_primary	res_vik_farm
vik_reg_dor_primary	res_vik_iron
vik_reg_doreceaster_primary	res_vik_fort
vik_reg_doreceaster_secondary	
vik_reg_drayton_port	res_vik_fish
vik_reg_drayton_primary	res_vik_salt
vik_reg_druim_collachair_primary	res_vik_farm
vik_reg_druim_da_ethiar_primary	res_vik_fort
vik_reg_druim_da_ethiar_secondary	
vik_reg_dugannu_port	res_vik_fish
vik_reg_dugannu_primary	res_vik_copper
vik_reg_dun_aberte_port	res_vik_fish
vik_reg_dun_aberte_primary	res_vik_pottery
vik_reg_dun_att_primary	res_vik_fort
vik_reg_dun_att_secondary	
vik_reg_dun_beccan_port	res_vik_fish
vik_reg_dun_beccan_primary	res_vik_silver
vik_reg_dun_blann_primary	res_vik_leather
vik_reg_dun_cailden_primary	res_vik_saint_gold
vik_reg_dun_cailden_secondary	
vik_reg_dun_domnaill_primary	res_vik_farm
vik_reg_dun_duirn_primary	res_vik_silver
vik_reg_dun_duirn_secondary	
vik_reg_dun_eachainn_primary	res_vik_farm
vik_reg_dun_foither_port	res_vik_port
vik_reg_dun_foither_primary	res_vik_fort
vik_reg_dun_foither_secondary	
vik_reg_dun_na_ngall_port	res_vik_fish
vik_reg_dun_na_ngall_primary	res_vik_cloth
vik_reg_dun_nechtain_primary	res_vik_leather
vik_reg_dun_ollaig_primary	res_vik_leather
vik_reg_dun_patraic_port	res_vik_port
vik_reg_dun_patraic_primary	res_vik_saint
vik_reg_dun_patraic_secondary	
vik_reg_dun_sebuirgi_port	res_vik_port
vik_reg_dun_sebuirgi_primary	res_vik_fort
vik_reg_dun_sebuirgi_secondary	
vik_reg_dunholm_primary	res_vik_saint_gold
vik_reg_dyflin_port	res_vik_port
vik_reg_dyflin_primary	res_vik_ship_gold
vik_reg_dyflin_secondary	
vik_reg_dynbaer_port	res_vik_fish
vik_reg_dynbaer_primary	res_vik_salt
vik_reg_earmutha_port	res_vik_fish
vik_reg_earmutha_primary	res_vik_tin
vik_reg_ebbesham_primary	res_vik_pottery
vik_reg_eidenburg_port	res_vik_port
vik_reg_eidenburg_primary	res_vik_fort_gold
vik_reg_eidenburg_secondary	
vik_reg_elig_primary	res_vik_pottery
vik_reg_eoferwic_port	res_vik_trade_port
vik_reg_eoferwic_primary	res_vik_crown_gold
vik_reg_eoferwic_secondary	
vik_reg_eofesham_primary	res_vik_farm
vik_reg_ethandun_primary	res_vik_farm
vik_reg_exanceaster_port	res_vik_trade_port
vik_reg_exanceaster_primary	res_vik_market
vik_reg_exanceaster_secondary	
vik_reg_ferna_primary	res_vik_farm
vik_reg_flichesburg_primary	res_vik_pottery
vik_reg_forais_primary	res_vik_pottery
vik_reg_gipeswic_port	res_vik_fish
vik_reg_gipeswic_primary	res_vik_pottery
vik_reg_glastingburi_primary	res_vik_cloth
vik_reg_gleann_da_loch_primary	res_vik_leather
vik_reg_gleawceaster_primary	res_vik_market
vik_reg_gleawceaster_secondary	
vik_reg_grantabrycg_primary	res_vik_market
vik_reg_grantabrycg_secondary	
vik_reg_grianan_aileach_primary	res_vik_fort_gold
vik_reg_grianan_aileach_secondary	
vik_reg_guldeford_primary	res_vik_cloth
vik_reg_guvan_primary	res_vik_fort
vik_reg_guvan_secondary	
vik_reg_gyruum_port	res_vik_fish
vik_reg_gyruum_primary	res_vik_farm
vik_reg_haestingas_port	res_vik_port
vik_reg_haestingas_primary	res_vik_fort
vik_reg_haestingas_secondary	
vik_reg_hagustaldes_primary	res_vik_cloth
vik_reg_haverfordia_primary	res_vik_farm
vik_reg_hereford_primary	res_vik_leather
vik_reg_hereford_secondary	
vik_reg_herutford_primary	res_vik_leather
vik_reg_heslerton_primary	res_vik_copper
vik_reg_hlymrekr_port	res_vik_port
vik_reg_hlymrekr_primary	res_vik_ship_gold
vik_reg_hlymrekr_secondary	
vik_reg_hripum_primary	res_vik_silver
vik_reg_huntandun_primary	res_vik_farm
vik_reg_huntandun_secondary	
vik_reg_hwitan_aerne_primary	res_vik_saint_gold
vik_reg_imblech_ibair_primary	res_vik_farm
vik_reg_inber_nise_primary	res_vik_iron
vik_reg_inis_cathaigh_primary	res_vik_farm
vik_reg_inis_faithlenn_port	res_vik_port
vik_reg_inis_faithlenn_primary	res_vik_saint
vik_reg_inis_faithlenn_secondary	
vik_reg_inis_patraic_primary	res_vik_farm
vik_reg_ioua_port	res_vik_port
vik_reg_ioua_primary	res_vik_saint
vik_reg_ioua_secondary	
vik_reg_laewe_primary	res_vik_leather
vik_reg_laewe_secondary	
vik_reg_lann_afan_primary	res_vik_farm
vik_reg_lann_cors_primary	res_vik_farm
vik_reg_lann_cors_secondary	
vik_reg_lann_dewi_primary	res_vik_gold
vik_reg_lann_idloes_primary	res_vik_copper
vik_reg_lann_ildut_port	res_vik_fish
vik_reg_lann_ildut_primary	res_vik_leather
vik_reg_lann_padarn_primary	res_vik_silver
vik_reg_latharn_primary	res_vik_silver
vik_reg_latharna_port	res_vik_fish
vik_reg_latharna_primary	res_vik_farm
vik_reg_licetfelda_primary	res_vik_pottery
vik_reg_ligeraceaster_primary	res_vik_farm
vik_reg_ligeraceaster_secondary	
vik_reg_lindcylne_primary	res_vik_fort
vik_reg_lindcylne_secondary	
vik_reg_linns_port	res_vik_fish
vik_reg_linns_primary	res_vik_salt
vik_reg_lis_mor_primary	res_vik_tin
vik_reg_liwtune_primary	res_vik_farm
vik_reg_liwtune_secondary	
vik_reg_loch_gabhair_primary	res_vik_iron
vik_reg_loch_raich_primary	res_vik_leather
vik_reg_loidis_primary	res_vik_market
vik_reg_loidis_secondary	
vik_reg_lonceaster_primary	res_vik_leather
vik_reg_lude_primary	res_vik_pottery
vik_reg_lunden_port	res_vik_trade_port
vik_reg_lunden_primary	res_vik_market
vik_reg_lunden_secondary	
vik_reg_maeldune_port	res_vik_fish
vik_reg_maeldune_primary	res_vik_salt
vik_reg_mailros_primary	res_vik_farm
vik_reg_mameceaster_primary	res_vik_fort
vik_reg_mameceaster_secondary	
vik_reg_mathrafal_primary	res_vik_fort
vik_reg_mathrafal_secondary	
vik_reg_menevia_port	res_vik_fish
vik_reg_menevia_primary	res_vik_saint_gold
vik_reg_middeherst_primary	res_vik_leather
vik_reg_moige_bile_primary	res_vik_gold
vik_reg_na_seciri_primary	res_vik_farm
vik_reg_nas_primary	res_vik_fort
vik_reg_nas_secondary	
vik_reg_nedd_primary	res_vik_farm
vik_reg_northhamtun_primary	res_vik_fort
vik_reg_northhamtun_secondary	
vik_reg_northwic_primary	res_vik_market
vik_reg_northwic_secondary	
vik_reg_oswaldestroe_primary	res_vik_farm
vik_reg_oswaldestroe_secondary	
vik_reg_otergimele_port	res_vik_fish
vik_reg_otergimele_primary	res_vik_farm
vik_reg_oxnaforda_primary	res_vik_farm
vik_reg_pefenesea_primary	res_vik_iron
vik_reg_poclintun_primary	res_vik_farm
vik_reg_poclintun_secondary	
vik_reg_porteceaster_primary	res_vik_salt
vik_reg_rath_cruachan_primary	res_vik_fort
vik_reg_rath_cruachan_secondary	
vik_reg_rath_luraig_primary	res_vik_cloth
vik_reg_rendlesham_primary	res_vik_fort
vik_reg_rendlesham_secondary	
vik_reg_rinnin_primary	res_vik_farm
vik_reg_rocheberie_primary	res_vik_farm
vik_reg_rofeceaster_port	res_vik_fish
vik_reg_rofeceaster_primary	res_vik_farm
vik_reg_ros_ailithir_primary	res_vik_wood
vik_reg_ros_ailithir_secondary	
vik_reg_ros_cuissine_primary	res_vik_iron
vik_reg_ros_maircind_primary	res_vik_leather
vik_reg_ros_primary	res_vik_farm
vik_reg_rucestr_primary	res_vik_leather
vik_reg_rudglann_primary	res_vik_iron
vik_reg_saigher_primary	res_vik_farm
vik_reg_saigher_secondary	
vik_reg_sancte_albanes_primary	res_vik_farm
vik_reg_sancte_albanes_secondary	
vik_reg_sancte_eadmundes_primary	res_vik_saint_gold
vik_reg_sancte_germanes_primary	res_vik_farm
vik_reg_sancte_ye_primary	res_vik_farm
vik_reg_sceaftesburg_primary	res_vik_farm
vik_reg_sceaftesburg_secondary	
vik_reg_scireburnan_primary	res_vik_farm
vik_reg_scoan_primary	res_vik_fort
vik_reg_scoan_secondary	
vik_reg_sconnin_primary	res_vik_copper
vik_reg_scrobbesburg_primary	res_vik_cloth
vik_reg_scrobbesburg_secondary	
vik_reg_seolesigge_port	res_vik_port
vik_reg_seolesigge_primary	res_vik_fort
vik_reg_seolesigge_secondary	
vik_reg_snotingaham_primary	res_vik_fort
vik_reg_snotingaham_secondary	
vik_reg_sreth_belin_port	res_vik_fish
vik_reg_sreth_belin_primary	res_vik_silver
vik_reg_staefford_primary	res_vik_farm
vik_reg_staefford_secondary	
vik_reg_staeningum_primary	res_vik_farm
vik_reg_steanford_primary	res_vik_market
vik_reg_steanford_secondary	
vik_reg_stoc_primary	res_vik_leather
vik_reg_stornochway_port	res_vik_fish
vik_reg_stornochway_primary	res_vik_salt
vik_reg_stutfall_primary	res_vik_iron
vik_reg_suthhamtun_port	res_vik_fish
vik_reg_suthhamtun_primary	res_vik_farm
vik_reg_tamworthige_primary	res_vik_anvil_gold
vik_reg_tamworthige_secondary	
vik_reg_tanet_primary	res_vik_salt
vik_reg_theodford_primary	res_vik_farm
vik_reg_thursa_port	res_vik_fish
vik_reg_thursa_primary	res_vik_silver
vik_reg_tilaburg_primary	res_vik_salt
vik_reg_tintagol_port	res_vik_trade
vik_reg_tintagol_primary	res_vik_fort
vik_reg_tintagol_secondary	
vik_reg_tor_in_duine_port	res_vik_port
vik_reg_tor_in_duine_primary	res_vik_fort
vik_reg_tor_in_duine_secondary	
vik_reg_torfness_port	res_vik_fish
vik_reg_torfness_primary	res_vik_farm
vik_reg_totanes_primary	res_vik_copper
vik_reg_tuaim_primary	res_vik_salt
vik_reg_tuam_greine_primary	res_vik_farm
vik_reg_tureceseig_primary	res_vik_farm
vik_reg_vedrafjordr_port	res_vik_port
vik_reg_vedrafjordr_primary	res_vik_ship_gold
vik_reg_vedrafjordr_secondary	
vik_reg_veisafjordr_port	res_vik_port
vik_reg_veisafjordr_primary	res_vik_ship_gold
vik_reg_veisafjordr_secondary	
vik_reg_waecet_primary	res_vik_farm
vik_reg_waecet_secondary	
vik_reg_waerincwicum_primary	res_vik_fort
vik_reg_waerincwicum_secondary	
vik_reg_werham_port	res_vik_trade_port
vik_reg_werham_primary	res_vik_market
vik_reg_werham_secondary	
vik_reg_wigingamere_primary	res_vik_cloth
vik_reg_wigracestre_primary	res_vik_cloth
vik_reg_wiht_primary	res_vik_farm
vik_reg_wiltun_primary	res_vik_pottery
vik_reg_wintanceaster_primary	res_vik_saint_gold
vik_reg_wintanceaster_secondary	
vik_reg_wyrcesuuyrthe_primary	res_vik_farm
