effect_bundle	province	season	climate_phase_lower_threshold	default	weighting
shield_season_spring	vik_prov_dal_naraidi	season_spring	0	true	16
shield_season_winter	vik_prov_defenascir	season_winter	0	true	16
shield_season_summer	vik_prov_defenascir	season_summer	0	true	16
shield_season_harvest	vik_prov_defenascir	season_autumn	0	true	16
shield_season_spring	vik_prov_defenascir	season_spring	0	true	16
shield_season_winter	vik_prov_dorsaete	season_winter	0	true	16
shield_season_summer	vik_prov_dorsaete	season_summer	0	true	16
shield_season_harvest	vik_prov_dorsaete	season_autumn	0	true	16
shield_season_spring	vik_prov_dorsaete	season_spring	0	true	16
shield_season_winter	vik_prov_druim_alban	season_winter	0	true	16
shield_season_summer	vik_prov_druim_alban	season_summer	0	true	16
shield_season_harvest	vik_prov_druim_alban	season_autumn	0	true	16
shield_season_spring	vik_prov_druim_alban	season_spring	0	true	16
shield_season_winter	vik_prov_dyfet	season_winter	0	true	16
shield_season_summer	vik_prov_dyfet	season_summer	0	true	16
shield_season_harvest	vik_prov_dyfet	season_autumn	0	true	16
shield_season_spring	vik_prov_dyfet	season_spring	0	true	16
shield_season_winter	vik_prov_east_seaxe	season_winter	0	true	16
shield_season_summer	vik_prov_east_seaxe	season_summer	0	true	16
shield_season_harvest	vik_prov_east_seaxe	season_autumn	0	true	16
shield_season_spring	vik_prov_east_seaxe	season_spring	0	true	16
shield_season_winter	vik_prov_east_suth_seaxe	season_winter	0	true	16
shield_season_summer	vik_prov_east_suth_seaxe	season_summer	0	true	16
shield_season_harvest	vik_prov_east_suth_seaxe	season_autumn	0	true	16
shield_season_spring	vik_prov_east_suth_seaxe	season_spring	0	true	16
shield_season_winter	vik_prov_east_thryding	season_winter	0	true	16
shield_season_summer	vik_prov_east_thryding	season_summer	0	true	16
shield_season_harvest	vik_prov_east_thryding	season_autumn	0	true	16
shield_season_spring	vik_prov_east_thryding	season_spring	0	true	16
shield_season_winter	vik_prov_fenns	season_winter	0	true	16
shield_season_summer	vik_prov_fenns	season_summer	0	true	16
shield_season_harvest	vik_prov_fenns	season_autumn	0	true	16
shield_season_spring	vik_prov_fenns	season_spring	0	true	16
shield_season_winter	vik_prov_grantabrycgscir	season_winter	0	true	16
shield_season_summer	vik_prov_grantabrycgscir	season_summer	0	true	16
shield_season_harvest	vik_prov_grantabrycgscir	season_autumn	0	true	16
shield_season_spring	vik_prov_grantabrycgscir	season_spring	0	true	16
shield_season_winter	vik_prov_gwined	season_winter	0	true	16
shield_season_summer	vik_prov_gwined	season_summer	0	true	16
shield_season_harvest	vik_prov_gwined	season_autumn	0	true	16
shield_season_spring	vik_prov_gwined	season_spring	0	true	16
shield_season_winter	vik_prov_hamtunscir	season_winter	0	true	16
shield_season_summer	vik_prov_hamtunscir	season_summer	0	true	16
shield_season_harvest	vik_prov_hamtunscir	season_autumn	0	true	16
shield_season_spring	vik_prov_hamtunscir	season_spring	0	true	16
shield_season_winter	vik_prov_hlymrekr	season_winter	0	true	16
shield_season_summer	vik_prov_hlymrekr	season_summer	0	true	16
shield_season_harvest	vik_prov_hlymrekr	season_autumn	0	true	16
shield_season_spring	vik_prov_hlymrekr	season_spring	0	true	16
shield_season_winter	vik_prov_hwicce	season_winter	0	true	16
shield_season_summer	vik_prov_hwicce	season_summer	0	true	16
shield_season_harvest	vik_prov_hwicce	season_autumn	0	true	16
shield_season_spring	vik_prov_hwicce	season_spring	0	true	16
shield_season_winter	vik_prov_iarmoreb	season_winter	0	true	16
shield_season_summer	vik_prov_iarmoreb	season_summer	0	true	16
shield_season_harvest	vik_prov_iarmoreb	season_autumn	0	true	16
shield_season_spring	vik_prov_iarmoreb	season_spring	0	true	16
shield_season_winter	vik_prov_iarmuma	season_winter	0	true	16
shield_season_summer	vik_prov_iarmuma	season_summer	0	true	16
shield_season_harvest	vik_prov_iarmuma	season_autumn	0	true	16
shield_season_spring	vik_prov_iarmuma	season_spring	0	true	16
shield_season_winter	vik_prov_kerneu	season_winter	0	true	16
shield_season_summer	vik_prov_kerneu	season_summer	0	true	16
shield_season_harvest	vik_prov_kerneu	season_autumn	0	true	16
shield_season_spring	vik_prov_kerneu	season_spring	0	true	16
shield_season_winter	vik_prov_laigen	season_winter	0	true	16
shield_season_summer	vik_prov_laigen	season_summer	0	true	16
shield_season_harvest	vik_prov_laigen	season_autumn	0	true	16
shield_season_spring	vik_prov_laigen	season_spring	0	true	16
shield_season_winter	vik_prov_lindesege	season_winter	0	true	16
shield_season_summer	vik_prov_lindesege	season_summer	0	true	16
shield_season_harvest	vik_prov_lindesege	season_autumn	0	true	16
shield_season_spring	vik_prov_lindesege	season_spring	0	true	16
shield_season_winter	vik_prov_loden	season_winter	0	true	16
shield_season_summer	vik_prov_loden	season_summer	0	true	16
shield_season_harvest	vik_prov_loden	season_autumn	0	true	16
shield_season_spring	vik_prov_loden	season_spring	0	true	16
shield_season_winter	vik_prov_mana	season_winter	0	true	16
shield_season_summer	vik_prov_mana	season_summer	0	true	16
shield_season_harvest	vik_prov_mana	season_autumn	0	true	16
shield_season_spring	vik_prov_mana	season_spring	0	true	16
shield_season_winter	vik_prov_middel_engle	season_winter	0	true	16
shield_season_summer	vik_prov_middel_engle	season_summer	0	true	16
shield_season_harvest	vik_prov_middel_engle	season_autumn	0	true	16
shield_season_spring	vik_prov_middel_engle	season_spring	0	true	16
shield_season_winter	vik_prov_middel_seaxe	season_winter	0	true	16
shield_season_summer	vik_prov_middel_seaxe	season_summer	0	true	16
shield_season_harvest	vik_prov_middel_seaxe	season_autumn	0	true	16
shield_season_spring	vik_prov_middel_seaxe	season_spring	0	true	16
shield_season_winter	vik_prov_mide	season_winter	0	true	16
shield_season_summer	vik_prov_mide	season_summer	0	true	16
shield_season_harvest	vik_prov_mide	season_autumn	0	true	16
shield_season_spring	vik_prov_mide	season_spring	0	true	16
shield_season_winter	vik_prov_monadh	season_winter	0	true	16
shield_season_summer	vik_prov_monadh	season_summer	0	true	16
shield_season_harvest	vik_prov_monadh	season_autumn	0	true	16
shield_season_spring	vik_prov_monadh	season_spring	0	true	16
shield_season_winter	vik_prov_morcanhuc	season_winter	0	true	16
shield_season_summer	vik_prov_morcanhuc	season_summer	0	true	16
shield_season_harvest	vik_prov_morcanhuc	season_autumn	0	true	16
shield_season_spring	vik_prov_morcanhuc	season_spring	0	true	16
shield_season_winter	vik_prov_muma	season_winter	0	true	16
shield_season_summer	vik_prov_muma	season_summer	0	true	16
shield_season_harvest	vik_prov_muma	season_autumn	0	true	16
shield_season_spring	vik_prov_muma	season_spring	0	true	16
shield_season_winter	vik_prov_norfolc	season_winter	0	true	16
shield_season_summer	vik_prov_norfolc	season_summer	0	true	16
shield_season_harvest	vik_prov_norfolc	season_autumn	0	true	16
shield_season_spring	vik_prov_norfolc	season_spring	0	true	16
shield_season_winter	vik_prov_north_mierce	season_winter	0	true	16
shield_season_summer	vik_prov_north_mierce	season_summer	0	true	16
shield_season_harvest	vik_prov_north_mierce	season_autumn	0	true	16
shield_season_spring	vik_prov_north_mierce	season_spring	0	true	16
shield_season_winter	vik_prov_north_thryding	season_winter	0	true	16
shield_season_summer	vik_prov_north_thryding	season_summer	0	true	16
shield_season_harvest	vik_prov_north_thryding	season_autumn	0	true	16
shield_season_spring	vik_prov_north_thryding	season_spring	0	true	16
shield_season_winter	vik_prov_offas_dic	season_winter	0	true	16
shield_season_summer	vik_prov_offas_dic	season_summer	0	true	16
shield_season_harvest	vik_prov_offas_dic	season_autumn	0	true	16
shield_season_spring	vik_prov_offas_dic	season_spring	0	true	16
shield_season_winter	vik_prov_osraige	season_winter	0	true	16
shield_season_summer	vik_prov_osraige	season_summer	0	true	16
shield_season_harvest	vik_prov_osraige	season_autumn	0	true	16
shield_season_spring	vik_prov_osraige	season_spring	0	true	16
shield_season_winter	vik_prov_powis	season_winter	0	true	16
shield_season_summer	vik_prov_powis	season_summer	0	true	16
shield_season_harvest	vik_prov_powis	season_autumn	0	true	16
shield_season_spring	vik_prov_powis	season_spring	0	true	16
shield_season_winter	vik_prov_staeffordscir	season_winter	0	true	16
shield_season_summer	vik_prov_staeffordscir	season_summer	0	true	16
shield_season_harvest	vik_prov_staeffordscir	season_autumn	0	true	16
shield_season_spring	vik_prov_staeffordscir	season_spring	0	true	16
shield_season_winter	vik_prov_strat_clut	season_winter	0	true	16
shield_season_summer	vik_prov_strat_clut	season_summer	0	true	16
shield_season_harvest	vik_prov_strat_clut	season_autumn	0	true	16
shield_season_spring	vik_prov_strat_clut	season_spring	0	true	16
shield_season_winter	vik_prov_sudreyar	season_winter	0	true	16
shield_season_summer	vik_prov_sudreyar	season_summer	0	true	16
shield_season_harvest	vik_prov_sudreyar	season_autumn	0	true	16
shield_season_spring	vik_prov_sudreyar	season_spring	0	true	16
shield_season_winter	vik_prov_sumorsaete	season_winter	0	true	16
shield_season_summer	vik_prov_sumorsaete	season_summer	0	true	16
shield_season_harvest	vik_prov_sumorsaete	season_autumn	0	true	16
shield_season_spring	vik_prov_sumorsaete	season_spring	0	true	16
shield_season_winter	vik_prov_suth_mierce	season_winter	0	true	16
shield_season_summer	vik_prov_suth_mierce	season_summer	0	true	16
shield_season_harvest	vik_prov_suth_mierce	season_autumn	0	true	16
shield_season_spring	vik_prov_suth_mierce	season_spring	0	true	16
shield_season_winter	vik_prov_suthfolc	season_winter	0	true	16
shield_season_summer	vik_prov_suthfolc	season_summer	0	true	16
shield_season_harvest	vik_prov_suthfolc	season_autumn	0	true	16
shield_season_spring	vik_prov_suthfolc	season_spring	0	true	16
shield_season_winter	vik_prov_tuadmuma	season_winter	0	true	16
shield_season_summer	vik_prov_tuadmuma	season_summer	0	true	16
shield_season_harvest	vik_prov_tuadmuma	season_autumn	0	true	16
shield_season_spring	vik_prov_tuadmuma	season_spring	0	true	16
shield_season_winter	vik_prov_vedrafjordr	season_winter	0	true	16
shield_season_summer	vik_prov_vedrafjordr	season_summer	0	true	16
shield_season_harvest	vik_prov_vedrafjordr	season_autumn	0	true	16
shield_season_spring	vik_prov_vedrafjordr	season_spring	0	true	16
shield_season_winter	vik_prov_veisafjordr	season_winter	0	true	16
shield_season_summer	vik_prov_veisafjordr	season_summer	0	true	16
shield_season_harvest	vik_prov_veisafjordr	season_autumn	0	true	16
shield_season_spring	vik_prov_veisafjordr	season_spring	0	true	16
shield_season_winter	vik_prov_west_seaxe	season_winter	0	true	16
shield_season_summer	vik_prov_west_seaxe	season_summer	0	true	16
shield_season_harvest	vik_prov_west_seaxe	season_autumn	0	true	16
shield_season_spring	vik_prov_west_seaxe	season_spring	0	true	16
shield_season_winter	vik_prov_west_suth_seaxe	season_winter	0	true	16
shield_season_summer	vik_prov_west_suth_seaxe	season_summer	0	true	16
shield_season_harvest	vik_prov_west_suth_seaxe	season_autumn	0	true	16
shield_season_spring	vik_prov_west_suth_seaxe	season_spring	0	true	16
shield_season_winter	vik_prov_west_thryding	season_winter	0	true	16
shield_season_summer	vik_prov_west_thryding	season_summer	0	true	16
shield_season_harvest	vik_prov_west_thryding	season_autumn	0	true	16
shield_season_spring	vik_prov_west_thryding	season_spring	0	true	16
shield_season_winter	vik_prov_wiltscir	season_winter	0	true	16
shield_season_summer	vik_prov_wiltscir	season_summer	0	true	16
shield_season_harvest	vik_prov_wiltscir	season_autumn	0	true	16
shield_season_spring	vik_prov_wiltscir	season_spring	0	true	16
shield_season_winter_bitter	vik_prov_agmundrenesse	season_winter	0	false	1
shield_season_summer_drought	vik_prov_agmundrenesse	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_agmundrenesse	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_agmundrenesse	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_aileach	season_winter	0	false	1
shield_season_summer_drought	vik_prov_aileach	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_aileach	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_aileach	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_airer_goidel	season_winter	0	false	5
shield_season_summer_drought	vik_prov_airer_goidel	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_airer_goidel	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_airer_goidel	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_airgialla	season_winter	0	false	1
shield_season_summer_drought	vik_prov_airgialla	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_airgialla	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_airgialla	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_athfochla	season_winter	0	false	5
shield_season_summer_drought	vik_prov_athfochla	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_athfochla	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_athfochla	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_aurmoreb	season_winter	0	false	5
shield_season_summer_drought	vik_prov_aurmoreb	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_aurmoreb	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_aurmoreb	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_beornice	season_winter	0	false	1
shield_season_summer_drought	vik_prov_beornice	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_beornice	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_beornice	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_brega	season_winter	0	false	1
shield_season_summer_drought	vik_prov_brega	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_brega	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_brega	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_breifne	season_winter	0	false	1
shield_season_summer_drought	vik_prov_breifne	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_breifne	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_breifne	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_cait	season_winter	0	false	5
shield_season_summer_drought	vik_prov_cait	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_cait	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_cait	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_cent	season_winter	0	false	1
shield_season_summer_drought	vik_prov_cent	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_cent	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_cent	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_ceredigeaun	season_winter	0	false	1
shield_season_summer_drought	vik_prov_ceredigeaun	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_ceredigeaun	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_ceredigeaun	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_circenn	season_winter	0	false	5
shield_season_summer_drought	vik_prov_circenn	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_circenn	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_circenn	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_connacht	season_winter	0	false	1
shield_season_summer_drought	vik_prov_connacht	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_connacht	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_connacht	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_corcaigh	season_winter	0	false	1
shield_season_summer_drought	vik_prov_corcaigh	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_corcaigh	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_corcaigh	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_cumbraland	season_winter	0	false	1
shield_season_summer_drought	vik_prov_cumbraland	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_cumbraland	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_cumbraland	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_dal_fiatach	season_winter	0	false	1
shield_season_summer_drought	vik_prov_dal_fiatach	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_dal_fiatach	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_dal_fiatach	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_dal_naraidi	season_winter	0	false	1
shield_season_summer_drought	vik_prov_dal_naraidi	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_dal_naraidi	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_dal_naraidi	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_defenascir	season_winter	0	false	1
shield_season_summer_drought	vik_prov_defenascir	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_defenascir	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_defenascir	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_dorsaete	season_winter	0	false	1
shield_season_summer_drought	vik_prov_dorsaete	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_dorsaete	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_dorsaete	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_druim_alban	season_winter	0	false	5
shield_season_summer_drought	vik_prov_druim_alban	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_druim_alban	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_druim_alban	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_dyfet	season_winter	0	false	1
shield_season_summer_drought	vik_prov_dyfet	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_dyfet	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_dyfet	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_east_seaxe	season_winter	0	false	1
shield_season_summer_drought	vik_prov_east_seaxe	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_east_seaxe	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_east_seaxe	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_east_suth_seaxe	season_winter	0	false	1
shield_season_summer_drought	vik_prov_east_suth_seaxe	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_east_suth_seaxe	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_east_suth_seaxe	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_east_thryding	season_winter	0	false	1
shield_season_summer_drought	vik_prov_east_thryding	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_east_thryding	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_east_thryding	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_fenns	season_winter	0	false	1
shield_season_summer_drought	vik_prov_fenns	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_fenns	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_fenns	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_grantabrycgscir	season_winter	0	false	1
shield_season_summer_drought	vik_prov_grantabrycgscir	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_grantabrycgscir	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_grantabrycgscir	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_gwined	season_winter	0	false	5
shield_season_summer_drought	vik_prov_gwined	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_gwined	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_gwined	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_hamtunscir	season_winter	0	false	1
shield_season_summer_drought	vik_prov_hamtunscir	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_hamtunscir	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_hamtunscir	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_hlymrekr	season_winter	0	false	1
shield_season_summer_drought	vik_prov_hlymrekr	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_hlymrekr	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_hlymrekr	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_hwicce	season_winter	0	false	1
shield_season_summer_drought	vik_prov_hwicce	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_hwicce	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_hwicce	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_iarmoreb	season_winter	0	false	5
shield_season_summer_drought	vik_prov_iarmoreb	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_iarmoreb	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_iarmoreb	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_iarmuma	season_winter	0	false	1
shield_season_summer_drought	vik_prov_iarmuma	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_iarmuma	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_iarmuma	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_kerneu	season_winter	0	false	1
shield_season_summer_drought	vik_prov_kerneu	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_kerneu	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_kerneu	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_laigen	season_winter	0	false	1
shield_season_summer_drought	vik_prov_laigen	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_laigen	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_laigen	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_lindesege	season_winter	0	false	1
shield_season_summer_drought	vik_prov_lindesege	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_lindesege	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_lindesege	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_loden	season_winter	0	false	5
shield_season_summer_drought	vik_prov_loden	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_loden	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_loden	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_mana	season_winter	0	false	1
shield_season_summer_drought	vik_prov_mana	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_mana	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_mana	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_middel_engle	season_winter	0	false	1
shield_season_summer_drought	vik_prov_middel_engle	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_middel_engle	season_autumn	0	false	5
shield_season_spring_flood	vik_prov_middel_engle	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_middel_seaxe	season_winter	0	false	1
shield_season_summer_drought	vik_prov_middel_seaxe	season_summer	0	false	5
shield_season_harvest_cold	vik_prov_middel_seaxe	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_middel_seaxe	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_mide	season_winter	0	false	1
shield_season_summer_drought	vik_prov_mide	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_mide	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_mide	season_spring	0	false	5
shield_season_winter_bitter	vik_prov_monadh	season_winter	0	false	5
shield_season_summer_drought	vik_prov_monadh	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_monadh	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_monadh	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_morcanhuc	season_winter	0	false	5
shield_season_summer_drought	vik_prov_morcanhuc	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_morcanhuc	season_autumn	0	false	1
shield_season_spring_flood	vik_prov_morcanhuc	season_spring	0	false	1
shield_season_winter_bitter	vik_prov_muma	season_winter	0	false	1
shield_season_summer_drought	vik_prov_muma	season_summer	0	false	1
shield_season_harvest_cold	vik_prov_muma	season_autumn	0	false	1
