key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category
sw_heroism_vik_fact_fortriu	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_gallgoidel	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_gliwissig	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_grantebru	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_gwent	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_gwined	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_haeden	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_heimiliborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_hellirborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_hlymrekr	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_holdrness	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_hwicce	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_hylrborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_iarmuma	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_laigin	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_ledeborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_mide	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_mierce	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_myrrborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_nordmann	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_normaunds	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_norse	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_northleode	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_northymbre	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_orkneyar	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_osraige	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_powis	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_seisilwig	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_steinnborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_strat_clut	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_sudreyar	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_suth_seaxe	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_tuadmuma	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_ulaid	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_vedrafjordr	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_veidrborg	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_veisafjordr	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_west_seaxe	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_westernas	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_westmoringas	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_vik_fact_wicing	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_aberffro	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_aberteifi	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_cair_gwent	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_dinefwr	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_guvan	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
sw_heroism_region_vik_reg_mathrafal	false			SANDS_DUMMY_MISSION	rom_event_mission.png	vik_event_invade_territory_01	true	Ybor
