technology	effect	effect_scope	value
vik_civ_religion_6_here_king	vik_general_attribute_zeal	faction_to_character_own	-1.0
vik_civ_religion_6_here_king	vik_here_king_english_positive	faction_to_faction_own_unseen	1.0
vik_dyflin_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_dyflin_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_dyflin_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_dyflin_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_eastangla_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_eastangla_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_eastangla_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_gwined_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_gwined_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_gwined_civ_leader_6	vik_faction_mechanic_welsh_bonus	faction_to_faction_own_unseen	0.0
vik_gwined_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_gwined_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_irish_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_irish_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_irish_civ_leader_6	vik_faction_mechanic_gaelic_bonus	faction_to_faction_own_unseen	0.0
vik_irish_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_irish_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_miercna_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_miercna_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_miercna_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_miercna_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_northym_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_northym_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_northym_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_scots_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_scots_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_scots_civ_leader_6	vik_faction_mechanic_gaelic_bonus	faction_to_faction_own_unseen	0.0
vik_scots_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_scots_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_stratclut_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_stratclut_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_stratclut_civ_leader_6	vik_faction_mechanic_welsh_bonus	faction_to_faction_own_unseen	0.0
vik_stratclut_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_stratclut_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_sudreyar_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_sudreyar_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_sudreyar_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_sudreyar_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_viking_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_viking_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_viking_civ_leader_6	vik_faction_mechanic_bonus_dummy	faction_to_faction_own_unseen	1.0
vik_viking_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_viking_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
vik_westsexa_civ_leader_6	vik_decree_cooldown_modifier	faction_to_faction_own_unseen	50.0
vik_westsexa_civ_leader_6	vik_diplomacy_penalty	faction_to_faction_own_unseen	10.0
vik_westsexa_civ_market_5	vik_allegiance_public_order_modifier	faction_to_region_own_unseen	100.0
vik_westsexa_civ_market_5	vik_corruption_mod	faction_to_province_own	10.0
