key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	ai_bias	unique_index	cost_per_round	is_civil	is_engineering	is_military	locked_tooltip_progress_key
vik_mil_cavalry_5	att_abandoned_0	2	0	vik_tech_professional_cavalry	0	0	0	0	false	false	"placeholder.tga"	0	9285	0	false	false	true	
vik_mil_cavalry_6	att_abandoned_0	2	0	vik_tech_warrior_ideals	0	0	0	0	false	false	"placeholder.tga"	0	9289	0	false	false	true	
vik_mil_cavalry_7	att_abandoned_0	2	0	vik_tech_pool_replenishment_cavalry	0	0	0	0	false	false	"placeholder.tga"	0	9647	0	false	false	true	
vik_mil_cavalry_7_here_king	att_abandoned_0	2	0	vik_tech_pool_replenishment_cavalry	0	0	0	0	false	false	"placeholder.tga"	0	9805	0	false	false	true	
vik_mil_land_1	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9348	0	false	false	true	
vik_mil_land_2	att_abandoned_0	2	0	vik_tech_trained_warriors	0	0	0	0	false	false	"placeholder.tga"	0	9355	0	false	false	true	
vik_mil_land_3	att_abandoned_0	2	0	vik_tech_master_spearmen	0	0	0	0	false	false	"placeholder.tga"	0	9363	0	false	false	true	
vik_mil_land_4	att_abandoned_0	2	0	vik_tech_lower_upkeep	0	0	0	0	false	false	"placeholder.tga"	0	9690	0	false	false	true	
vik_mil_land_5	att_abandoned_0	2	0	vik_tech_masters_of_land	0	0	0	0	false	false	"placeholder.tga"	0	9657	0	false	false	true	
vik_mil_land_6	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9665	0	false	false	true	
vik_mil_land_7	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9669	0	false	false	true	
vik_mil_land_7_here_king	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9809	0	false	false	true	
vik_mil_melee_1	att_abandoned_0	2	0	vik_tech_defensive_tactics	0	0	0	0	false	false	"placeholder.tga"	0	9925	0	false	false	true	melee_recruited
vik_mil_melee_1_english	att_abandoned_0	2	0	vik_tech_defensive_tactics	0	0	0	0	false	false	"placeholder.tga"	0	9147	0	false	false	true	melee_recruited
vik_mil_melee_1_mide	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9846	0	false	false	true	melee_recruited
vik_mil_melee_1_vikings_all	att_abandoned_0	2	0	vik_tech_defensive_tactics	0	0	0	0	false	false	"placeholder.tga"	0	9851	0	false	false	true	melee_recruited
vik_mil_melee_2a	att_abandoned_0	2	0	vik_tech_spearmen_special	0	0	0	0	false	false	"placeholder.tga"	0	9152	0	false	false	true	
vik_mil_melee_2b	att_abandoned_0	2	0	vik_tech_siege_masters	0	0	0	0	false	false	"placeholder.tga"	0	9161	0	false	false	true	
vik_mil_melee_3a	att_abandoned_0	2	0	vik_tech_rationing	0	0	0	0	false	false	"placeholder.tga"	0	9926	0	false	false	true	
vik_mil_melee_3a_english	att_abandoned_0	2	0	vik_tech_rationing	0	0	0	0	false	false	"placeholder.tga"	0	9162	0	false	false	true	
vik_mil_melee_3a_sea_kings	att_abandoned_0	2	0	vik_tech_rationing	0	0	0	0	false	false	"placeholder.tga"	0	9860	0	false	false	false	
vik_mil_melee_3a_viking_army	att_abandoned_0	2	0	vik_tech_rationing	0	0	0	0	false	false	"placeholder.tga"	0	9853	0	false	false	false	
vik_mil_melee_3b	att_abandoned_0	2	0	vik_tech_offensive_mastery	0	0	0	0	false	false	"placeholder.tga"	0	9929	0	false	false	true	
vik_mil_melee_3b_sea_kings	att_abandoned_0	2	0	vik_tech_offensive_mastery	0	0	0	0	false	false	"placeholder.tga"	0	9879	0	false	false	true	
vik_mil_melee_3b_viking_army	att_abandoned_0	2	0	vik_tech_offensive_mastery	0	0	0	0	false	false	"placeholder.tga"	0	9870	0	false	false	true	
vik_mil_melee_3b_wales_gaelic	att_abandoned_0	2	0	vik_tech_offensive_mastery	0	0	0	0	false	false	"placeholder.tga"	0	9170	0	false	false	true	
vik_mil_melee_4a	att_abandoned_0	2	0	vik_tech_healthcare	0	0	0	0	false	false	"placeholder.tga"	0	9172	0	false	false	true	
vik_mil_melee_4b	att_abandoned_0	2	0	vik_tech_troop_organisation	0	0	0	0	false	false	"placeholder.tga"	0	9937	0	false	false	true	
vik_mil_melee_4b_english	att_abandoned_0	2	0	vik_tech_troop_organisation	0	0	0	0	false	false	"placeholder.tga"	0	9175	0	false	false	true	
vik_mil_melee_4b_gaelic	att_abandoned_0	2	0	vik_tech_pool_replenishment_peasant	0	0	0	0	false	false	"placeholder.tga"	0	9895	0	false	false	true	
vik_mil_melee_4b_here_king	att_abandoned_0	2	0	vik_tech_troop_organisation	0	0	0	0	false	false	"placeholder.tga"	0	9787	0	false	false	true	
vik_mil_melee_5	att_abandoned_0	2	0	vik_tech_bodyguard_3	0	0	0	0	false	false	"placeholder.tga"	0	9184	0	false	false	true	
vik_mil_melee_5_wales_circenn	att_abandoned_0	2	0	vik_tech_bodyguard_3	0	0	0	0	false	false	"placeholder.tga"	0	9889	0	false	false	true	
vik_mil_melee_6	att_abandoned_0	2	0	vik_tech_offensive_tactics	0	0	0	0	false	false	"placeholder.tga"	0	9626	0	false	false	true	
vik_mil_melee_6_here_king	att_abandoned_0	2	0	vik_tech_offensive_tactics	0	0	0	0	false	false	"placeholder.tga"	0	9784	0	false	false	true	
vik_mil_missile_1	att_abandoned_0	2	0	vik_tech_missile_special	0	0	0	0	false	false	"placeholder.tga"	0	9217	0	false	false	true	archers_recruited
vik_mil_missile_2	att_abandoned_0	2	0	vik_tech_trained_archers	0	0	0	0	false	false	"placeholder.tga"	0	9223	0	false	false	true	archers_recruited
vik_mil_missile_2_gaelic_sea_kings	att_abandoned_0	2	0	vik_tech_missile_special	0	0	0	0	false	false	"placeholder.tga"	0	9948	0	false	false	true	archers_recruited
vik_mil_missile_3	att_abandoned_0	2	0	vik_tech_pool_replenishment_missile	0	0	0	0	false	false	"placeholder.tga"	0	9225	0	false	false	true	
vik_mil_missile_4	att_abandoned_0	2	0	vik_tech_professional_archers	0	0	0	0	false	false	"placeholder.tga"	0	9228	0	false	false	true	
vik_mil_missile_5	att_abandoned_0	2	0	vik_tech_master_archers	0	0	0	0	false	false	"placeholder.tga"	0	9232	0	false	false	true	
vik_mil_missile_6	att_abandoned_0	2	0	vik_tech_ranged_warfare	0	0	0	0	false	false	"placeholder.tga"	0	9646	0	false	false	true	
vik_mil_missile_6_here_king	att_abandoned_0	2	0	vik_tech_bodyguard_1	0	0	0	0	false	false	"placeholder.tga"	0	9798	0	false	false	true	
vik_mil_siege_1	att_abandoned_0	2	0	vik_tech_provisions	0	0	0	0	false	false	"placeholder.tga"	0	9238	0	false	false	true	battles_siege
vik_mil_siege_2	att_abandoned_0	2	0	vik_tech_professional_spearmen	0	0	0	0	false	false	"placeholder.tga"	0	9243	0	false	false	true	
vik_mil_siege_2_here_king	att_abandoned_0	2	0	vik_tech_professional_spearmen	0	0	0	0	false	false	"placeholder.tga"	0	9801	0	false	false	true	
vik_mil_siege_3	att_abandoned_0	2	0	vik_tech_campaign_planning	0	0	0	0	false	false	"placeholder.tga"	0	9252	0	false	false	true	
vik_mil_siege_4	att_abandoned_0	2	0	vik_tech_siege	0	0	0	0	false	false	"placeholder.tga"	0	9257	0	false	false	true	
vik_mil_siege_5	att_abandoned_0	2	0	vik_tech_siege_techniques	0	0	0	0	false	false	"placeholder.tga"	0	9266	0	false	false	true	
vik_mil_spearmen_1	att_abandoned_0	2	0	vik_tech_arena	0	0	0	0	false	false	"placeholder.tga"	0	9193	0	false	false	true	spearmen_recruited
vik_mil_spearmen_2	att_abandoned_0	2	0	vik_tech_maritime_navigation	0	0	0	0	false	false	"placeholder.tga"	0	9203	0	false	false	true	spearmen_recruited
vik_mil_spearmen_3	att_abandoned_0	2	0	vik_tech_defensive_mastery	0	0	0	0	false	false	"placeholder.tga"	0	9204	0	false	false	true	
vik_mil_spearmen_4	att_abandoned_0	2	0	vik_tech_armoured_defence	0	0	0	0	false	false	"placeholder.tga"	0	9211	0	false	false	true	
vik_mil_spearmen_5	att_abandoned_0	2	0	vik_tech_pool_replenishment_elite	0	0	0	0	false	false	"placeholder.tga"	0	9213	0	false	false	true	
vik_mil_spearmen_5_wales	att_abandoned_0	2	0	vik_tech_pool_replenishment_elite	0	0	0	0	false	false	"placeholder.tga"	0	9898	0	false	false	true	
vik_mil_spearmen_6	att_abandoned_0	2	0	vik_tech_trained_bodyguards	0	0	0	0	false	false	"placeholder.tga"	0	9636	0	false	false	true	
vik_mil_spearmen_6_here_king	att_abandoned_0	2	0	vik_tech_trained_bodyguards	0	0	0	0	false	false	"placeholder.tga"	0	9791	0	false	false	true	
vik_civ_army_1	att_abandoned_0	2	0	vik_tech_accomplished_hunters	0	0	0	0	false	false	"placeholder.tga"	0	9437	0	true	false	false	
vik_civ_farm_3	att_abandoned_0	2	0	vik_tech_regional_traditions	0	0	0	0	false	false	"placeholder.tga"	0	9377	0	true	false	false	
vik_civ_farm_4	att_abandoned_0	2	0	vik_tech_advanced_agriculture	0	0	0	0	false	false	"placeholder.tga"	0	9384	0	true	false	false	
vik_civ_farm_2	att_abandoned_0	2	0	vik_tech_estates	0	0	0	0	false	false	"placeholder.tga"	0	9375	0	true	false	false	
vik_civ_farm_5	att_abandoned_0	2	0	vik_tech_irrigation	0	0	0	0	false	false	"placeholder.tga"	0	9386	0	true	false	false	
