choice_key	dilemma_key
SECOND	sw_training_toolmakers_1_vik_reg_dun_patraic
FIRST	sw_training_toolmakers_1_vik_reg_dun_sebuirgi
FIRST	sw_training_toolmakers_1_vik_reg_dyflin
SECOND	sw_training_toolmakers_1_vik_reg_dun_att
SECOND	sw_training_toolmakers_1_vik_reg_dun_foither
FIRST	sw_training_toolmakers_1_vik_reg_dun_patraic
SECOND	sw_training_toolmakers_1_vik_reg_druim_da_ethiar
FIRST	sw_training_toolmakers_1_vik_reg_dun_att
FIRST	sw_training_toolmakers_1_vik_reg_dun_foither
SECOND	sw_training_toolmakers_1_vik_reg_dinefwr
SECOND	sw_training_toolmakers_1_vik_reg_doreceaster
FIRST	sw_training_toolmakers_1_vik_reg_druim_da_ethiar
SECOND	sw_training_toolmakers_1_vik_reg_corcach
FIRST	sw_training_toolmakers_1_vik_reg_dinefwr
FIRST	sw_training_toolmakers_1_vik_reg_doreceaster
SECOND	sw_training_toolmakers_1_vik_reg_cippanhamm
SECOND	sw_training_toolmakers_1_vik_reg_colneceaster
FIRST	sw_training_toolmakers_1_vik_reg_corcach
SECOND	sw_training_toolmakers_1_vik_reg_cetretha
FIRST	sw_training_toolmakers_1_vik_reg_cippanhamm
FIRST	sw_training_toolmakers_1_vik_reg_colneceaster
SECOND	sw_training_toolmakers_1_vik_reg_cathair_commain
SECOND	sw_training_toolmakers_1_vik_reg_ceaster
FIRST	sw_training_toolmakers_1_vik_reg_cetretha
SECOND	sw_training_toolmakers_1_vik_reg_casteltoun
FIRST	sw_training_toolmakers_1_vik_reg_cathair_commain
FIRST	sw_training_toolmakers_1_vik_reg_ceaster
SECOND	sw_training_toolmakers_1_vik_reg_cantwaraburg
SECOND	sw_training_toolmakers_1_vik_reg_carleol
FIRST	sw_training_toolmakers_1_vik_reg_casteltoun
SECOND	sw_training_toolmakers_1_vik_reg_caisil
FIRST	sw_training_toolmakers_1_vik_reg_cantwaraburg
FIRST	sw_training_toolmakers_1_vik_reg_carleol
SECOND	sw_training_toolmakers_1_vik_reg_bornais
SECOND	sw_training_toolmakers_1_vik_reg_cair_gwent
FIRST	sw_training_toolmakers_1_vik_reg_caisil
SECOND	sw_training_toolmakers_1_vik_reg_blascona
FIRST	sw_training_toolmakers_1_vik_reg_bornais
FIRST	sw_training_toolmakers_1_vik_reg_cair_gwent
SECOND	sw_training_toolmakers_1_vik_reg_airchardan
SECOND	sw_training_toolmakers_1_vik_reg_bebbanburg
FIRST	sw_training_toolmakers_1_vik_reg_blascona
SECOND	sw_training_toolmakers_1_vik_reg_aethelingaeg
FIRST	sw_training_toolmakers_1_vik_reg_airchardan
FIRST	sw_training_toolmakers_1_vik_reg_bebbanburg
SECOND	sw_training_toolmakers_1_vik_reg_aberteifi
SECOND	sw_training_toolmakers_1_vik_reg_achadh_bo
FIRST	sw_training_toolmakers_1_vik_reg_aethelingaeg
SECOND	sw_training_toolmakers_1_vik_reg_aberffro
FIRST	sw_training_toolmakers_1_vik_reg_aberteifi
FIRST	sw_training_toolmakers_1_vik_reg_achadh_bo
SECOND	sw_training_ranged_weapons_vik_reg_werham
SECOND	sw_training_ranged_weapons_vik_reg_wintanceaster
FIRST	sw_training_toolmakers_1_vik_reg_aberffro
SECOND	sw_training_ranged_weapons_vik_reg_waerincwicum
FIRST	sw_training_ranged_weapons_vik_reg_werham
FIRST	sw_training_ranged_weapons_vik_reg_wintanceaster
SECOND	sw_training_ranged_weapons_vik_reg_vedrafjordr
SECOND	sw_training_ranged_weapons_vik_reg_veisafjordr
FIRST	sw_training_ranged_weapons_vik_reg_waerincwicum
SECOND	sw_training_ranged_weapons_vik_reg_tor_in_duine
FIRST	sw_training_ranged_weapons_vik_reg_vedrafjordr
FIRST	sw_training_ranged_weapons_vik_reg_veisafjordr
SECOND	sw_training_ranged_weapons_vik_reg_tamworthige
SECOND	sw_training_ranged_weapons_vik_reg_tintagol
FIRST	sw_training_ranged_weapons_vik_reg_tor_in_duine
SECOND	sw_training_ranged_weapons_vik_reg_steanford
FIRST	sw_training_ranged_weapons_vik_reg_tamworthige
FIRST	sw_training_ranged_weapons_vik_reg_tintagol
SECOND	sw_training_ranged_weapons_vik_reg_seolesigge
SECOND	sw_training_ranged_weapons_vik_reg_snotingaham
FIRST	sw_training_ranged_weapons_vik_reg_steanford
SECOND	sw_training_ranged_weapons_vik_reg_scoan
FIRST	sw_training_ranged_weapons_vik_reg_seolesigge
FIRST	sw_training_ranged_weapons_vik_reg_snotingaham
SECOND	sw_training_ranged_weapons_vik_reg_rendlesham
FIRST	sw_training_ranged_weapons_vik_reg_scoan
SECOND	sw_training_ranged_weapons_vik_reg_rath_cruachan
FIRST	sw_training_ranged_weapons_vik_reg_rendlesham
SECOND	sw_training_ranged_weapons_vik_reg_northwic
FIRST	sw_training_ranged_weapons_vik_reg_rath_cruachan
SECOND	sw_training_ranged_weapons_vik_reg_northhamtun
FIRST	sw_training_ranged_weapons_vik_reg_northwic
SECOND	sw_training_ranged_weapons_vik_reg_nas
FIRST	sw_training_ranged_weapons_vik_reg_northhamtun
SECOND	sw_training_ranged_weapons_vik_reg_mameceaster
FIRST	sw_training_ranged_weapons_vik_reg_nas
SECOND	sw_training_ranged_weapons_vik_reg_lunden
FIRST	sw_training_ranged_weapons_vik_reg_mameceaster
SECOND	sw_training_ranged_weapons_vik_reg_loidis
FIRST	sw_training_ranged_weapons_vik_reg_lunden
SECOND	sw_training_ranged_weapons_vik_reg_lindcylne
FIRST	sw_training_ranged_weapons_vik_reg_loidis
SECOND	sw_training_ranged_weapons_vik_reg_ioua
FIRST	sw_training_ranged_weapons_vik_reg_lindcylne
SECOND	sw_training_ranged_weapons_vik_reg_inis_faithlenn
FIRST	sw_training_ranged_weapons_vik_reg_ioua
SECOND	sw_training_ranged_weapons_vik_reg_hlymrekr
FIRST	sw_training_ranged_weapons_vik_reg_inis_faithlenn
SECOND	sw_training_ranged_weapons_vik_reg_haestingas
FIRST	sw_training_ranged_weapons_vik_reg_hlymrekr
SECOND	sw_training_ranged_weapons_vik_reg_guvan
FIRST	sw_training_ranged_weapons_vik_reg_haestingas
SECOND	sw_training_ranged_weapons_vik_reg_grianan_aileach
FIRST	sw_training_ranged_weapons_vik_reg_guvan
SECOND	sw_training_ranged_weapons_vik_reg_grantabrycg
FIRST	sw_training_ranged_weapons_vik_reg_grianan_aileach
SECOND	sw_training_ranged_weapons_vik_reg_gleawceaster
FIRST	sw_training_ranged_weapons_vik_reg_grantabrycg
SECOND	sw_training_ranged_weapons_vik_reg_exanceaster
FIRST	sw_training_ranged_weapons_vik_reg_gleawceaster
FIRST	sw_training_ranged_weapons_vik_reg_eoferwic
SECOND	sw_training_ranged_weapons_vik_reg_eoferwic
FIRST	sw_training_ranged_weapons_vik_reg_exanceaster
SECOND	sw_training_ranged_weapons_vik_reg_dyflin
FIRST	sw_training_ranged_weapons_vik_reg_eidenburg
SECOND	sw_training_ranged_weapons_vik_reg_eidenburg
FIRST	sw_training_ranged_weapons_vik_reg_dun_sebuirgi
SECOND	sw_training_ranged_weapons_vik_reg_dun_sebuirgi
FIRST	sw_training_ranged_weapons_vik_reg_dyflin
SECOND	sw_training_ranged_weapons_vik_reg_dun_foither
FIRST	sw_training_ranged_weapons_vik_reg_dun_patraic
SECOND	sw_training_ranged_weapons_vik_reg_dun_patraic
FIRST	sw_training_ranged_weapons_vik_reg_dun_att
SECOND	sw_training_ranged_weapons_vik_reg_dun_att
FIRST	sw_training_ranged_weapons_vik_reg_dun_foither
SECOND	sw_training_ranged_weapons_vik_reg_doreceaster
FIRST	sw_training_ranged_weapons_vik_reg_druim_da_ethiar
SECOND	sw_training_ranged_weapons_vik_reg_druim_da_ethiar
FIRST	sw_training_ranged_weapons_vik_reg_dinefwr
SECOND	sw_training_ranged_weapons_vik_reg_dinefwr
FIRST	sw_training_ranged_weapons_vik_reg_doreceaster
SECOND	sw_training_ranged_weapons_vik_reg_colneceaster
FIRST	sw_training_ranged_weapons_vik_reg_corcach
SECOND	sw_training_ranged_weapons_vik_reg_corcach
FIRST	sw_training_ranged_weapons_vik_reg_cippanhamm
SECOND	sw_training_ranged_weapons_vik_reg_cippanhamm
FIRST	sw_training_ranged_weapons_vik_reg_colneceaster
SECOND	sw_training_ranged_weapons_vik_reg_ceaster
FIRST	sw_training_ranged_weapons_vik_reg_cetretha
SECOND	sw_training_ranged_weapons_vik_reg_cetretha
FIRST	sw_training_ranged_weapons_vik_reg_cathair_commain
SECOND	sw_training_ranged_weapons_vik_reg_cathair_commain
FIRST	sw_training_ranged_weapons_vik_reg_ceaster
SECOND	sw_training_ranged_weapons_vik_reg_carleol
FIRST	sw_training_ranged_weapons_vik_reg_casteltoun
SECOND	sw_training_ranged_weapons_vik_reg_casteltoun
FIRST	sw_training_ranged_weapons_vik_reg_cantwaraburg
SECOND	sw_training_ranged_weapons_vik_reg_cantwaraburg
FIRST	sw_training_ranged_weapons_vik_reg_carleol
SECOND	sw_training_ranged_weapons_vik_reg_cair_gwent
FIRST	sw_training_ranged_weapons_vik_reg_caisil
SECOND	sw_training_ranged_weapons_vik_reg_caisil
FIRST	sw_training_ranged_weapons_vik_reg_bornais
SECOND	sw_training_ranged_weapons_vik_reg_bornais
FIRST	sw_training_ranged_weapons_vik_reg_cair_gwent
SECOND	sw_training_ranged_weapons_vik_reg_bebbanburg
FIRST	sw_training_ranged_weapons_vik_reg_blascona
SECOND	sw_training_ranged_weapons_vik_reg_blascona
FIRST	sw_training_ranged_weapons_vik_reg_airchardan
SECOND	sw_training_ranged_weapons_vik_reg_airchardan
FIRST	sw_training_ranged_weapons_vik_reg_bebbanburg
SECOND	sw_training_ranged_weapons_vik_reg_achadh_bo
FIRST	sw_training_ranged_weapons_vik_reg_aethelingaeg
SECOND	sw_training_ranged_weapons_vik_reg_aethelingaeg
FIRST	sw_training_ranged_weapons_vik_reg_aberteifi
SECOND	sw_training_ranged_weapons_vik_reg_aberteifi
FIRST	sw_training_ranged_weapons_vik_reg_achadh_bo
SECOND	sw_training_irish_vik_reg_wintanceaster
FIRST	sw_training_ranged_weapons_vik_reg_aberffro
SECOND	sw_training_ranged_weapons_vik_reg_aberffro
FIRST	sw_training_irish_vik_reg_werham
SECOND	sw_training_irish_vik_reg_werham
FIRST	sw_training_irish_vik_reg_wintanceaster
SECOND	sw_training_irish_vik_reg_veisafjordr
FIRST	sw_training_irish_vik_reg_waerincwicum
SECOND	sw_training_irish_vik_reg_waerincwicum
FIRST	sw_training_irish_vik_reg_vedrafjordr
SECOND	sw_training_irish_vik_reg_vedrafjordr
FIRST	sw_training_irish_vik_reg_veisafjordr
SECOND	sw_training_irish_vik_reg_tintagol
FIRST	sw_training_irish_vik_reg_tor_in_duine
SECOND	sw_training_irish_vik_reg_tor_in_duine
FIRST	sw_training_irish_vik_reg_tamworthige
SECOND	sw_training_irish_vik_reg_tamworthige
FIRST	sw_training_irish_vik_reg_tintagol
SECOND	sw_training_irish_vik_reg_snotingaham
FIRST	sw_training_irish_vik_reg_steanford
SECOND	sw_training_irish_vik_reg_steanford
FIRST	sw_training_irish_vik_reg_seolesigge
SECOND	sw_training_irish_vik_reg_seolesigge
FIRST	sw_training_irish_vik_reg_snotingaham
SECOND	sw_training_irish_vik_reg_rendlesham
FIRST	sw_training_irish_vik_reg_rath_cruachan
FIRST	sw_training_irish_vik_reg_scoan
SECOND	sw_training_irish_vik_reg_scoan
SECOND	sw_training_irish_vik_reg_rath_cruachan
SECOND	sw_training_irish_vik_reg_northhamtun
FIRST	sw_training_irish_vik_reg_rendlesham
FIRST	sw_training_irish_vik_reg_nas
FIRST	sw_training_irish_vik_reg_northwic
SECOND	sw_training_irish_vik_reg_northwic
SECOND	sw_training_irish_vik_reg_nas
SECOND	sw_training_irish_vik_reg_lunden
FIRST	sw_training_irish_vik_reg_northhamtun
FIRST	sw_training_irish_vik_reg_loidis
FIRST	sw_training_irish_vik_reg_mameceaster
SECOND	sw_training_irish_vik_reg_mameceaster
SECOND	sw_training_irish_vik_reg_loidis
SECOND	sw_training_irish_vik_reg_ioua
FIRST	sw_training_irish_vik_reg_lunden
FIRST	sw_training_irish_vik_reg_inis_faithlenn
FIRST	sw_training_irish_vik_reg_lindcylne
SECOND	sw_training_irish_vik_reg_lindcylne
SECOND	sw_training_irish_vik_reg_inis_faithlenn
SECOND	sw_training_irish_vik_reg_haestingas
FIRST	sw_training_irish_vik_reg_ioua
FIRST	sw_training_irish_vik_reg_guvan
FIRST	sw_training_irish_vik_reg_hlymrekr
SECOND	sw_training_irish_vik_reg_hlymrekr
SECOND	sw_training_irish_vik_reg_guvan
SECOND	sw_training_irish_vik_reg_grantabrycg
FIRST	sw_training_irish_vik_reg_haestingas
FIRST	sw_training_irish_vik_reg_gleawceaster
FIRST	sw_training_irish_vik_reg_grianan_aileach
SECOND	sw_training_irish_vik_reg_grianan_aileach
SECOND	sw_training_irish_vik_reg_gleawceaster
SECOND	sw_training_irish_vik_reg_eoferwic
FIRST	sw_training_irish_vik_reg_grantabrycg
FIRST	sw_training_irish_vik_reg_eidenburg
FIRST	sw_training_irish_vik_reg_exanceaster
SECOND	sw_training_irish_vik_reg_exanceaster
SECOND	sw_training_irish_vik_reg_eidenburg
SECOND	sw_training_irish_vik_reg_dun_sebuirgi
FIRST	sw_training_irish_vik_reg_eoferwic
FIRST	sw_training_irish_vik_reg_dun_patraic
FIRST	sw_training_irish_vik_reg_dyflin
SECOND	sw_training_irish_vik_reg_dyflin
SECOND	sw_training_irish_vik_reg_dun_patraic
SECOND	sw_training_irish_vik_reg_dun_att
FIRST	sw_training_irish_vik_reg_dun_sebuirgi
FIRST	sw_training_irish_vik_reg_druim_da_ethiar
FIRST	sw_training_irish_vik_reg_dun_foither
SECOND	sw_training_irish_vik_reg_dun_foither
SECOND	sw_training_irish_vik_reg_druim_da_ethiar
SECOND	sw_training_irish_vik_reg_dinefwr
FIRST	sw_training_irish_vik_reg_dun_att
FIRST	sw_training_irish_vik_reg_corcach
FIRST	sw_training_irish_vik_reg_doreceaster
SECOND	sw_training_irish_vik_reg_doreceaster
SECOND	sw_training_irish_vik_reg_corcach
SECOND	sw_training_irish_vik_reg_cippanhamm
FIRST	sw_training_irish_vik_reg_dinefwr
FIRST	sw_training_irish_vik_reg_cetretha
FIRST	sw_training_irish_vik_reg_colneceaster
SECOND	sw_training_irish_vik_reg_colneceaster
SECOND	sw_training_irish_vik_reg_cetretha
SECOND	sw_training_irish_vik_reg_cathair_commain
FIRST	sw_training_irish_vik_reg_cippanhamm
FIRST	sw_training_irish_vik_reg_casteltoun
FIRST	sw_training_irish_vik_reg_ceaster
SECOND	sw_training_irish_vik_reg_ceaster
SECOND	sw_training_irish_vik_reg_casteltoun
SECOND	sw_training_irish_vik_reg_cantwaraburg
FIRST	sw_training_irish_vik_reg_cathair_commain
FIRST	sw_training_irish_vik_reg_caisil
FIRST	sw_training_irish_vik_reg_carleol
SECOND	sw_training_irish_vik_reg_carleol
SECOND	sw_training_irish_vik_reg_caisil
SECOND	sw_training_irish_vik_reg_bornais
FIRST	sw_training_irish_vik_reg_cantwaraburg
FIRST	sw_training_irish_vik_reg_blascona
FIRST	sw_training_irish_vik_reg_cair_gwent
SECOND	sw_training_irish_vik_reg_cair_gwent
SECOND	sw_training_irish_vik_reg_blascona
SECOND	sw_training_irish_vik_reg_airchardan
FIRST	sw_training_irish_vik_reg_bornais
FIRST	sw_training_irish_vik_reg_aethelingaeg
FIRST	sw_training_irish_vik_reg_bebbanburg
SECOND	sw_training_irish_vik_reg_bebbanburg
SECOND	sw_training_irish_vik_reg_aethelingaeg
SECOND	sw_training_irish_vik_reg_aberteifi
FIRST	sw_training_irish_vik_reg_airchardan
FIRST	sw_training_irish_vik_reg_aberffro
FIRST	sw_training_irish_vik_reg_achadh_bo
SECOND	sw_training_irish_vik_reg_achadh_bo
SECOND	sw_training_irish_vik_reg_aberffro
SECOND	sw_training_forge_vik_reg_wintanceaster
FIRST	sw_training_irish_vik_reg_aberteifi
FIRST	sw_training_forge_vik_reg_werham
THIRD	sw_training_forge_vik_reg_wintanceaster
THIRD	sw_training_forge_vik_reg_werham
SECOND	sw_training_forge_vik_reg_werham
SECOND	sw_training_forge_vik_reg_waerincwicum
FIRST	sw_training_forge_vik_reg_wintanceaster
FIRST	sw_training_forge_vik_reg_veisafjordr
THIRD	sw_training_forge_vik_reg_waerincwicum
THIRD	sw_training_forge_vik_reg_veisafjordr
SECOND	sw_training_forge_vik_reg_veisafjordr
SECOND	sw_training_forge_vik_reg_vedrafjordr
FIRST	sw_training_forge_vik_reg_waerincwicum
FIRST	sw_training_forge_vik_reg_tor_in_duine
THIRD	sw_training_forge_vik_reg_vedrafjordr
THIRD	sw_training_forge_vik_reg_tor_in_duine
SECOND	sw_training_forge_vik_reg_tor_in_duine
SECOND	sw_training_forge_vik_reg_tintagol
FIRST	sw_training_forge_vik_reg_vedrafjordr
FIRST	sw_training_forge_vik_reg_tamworthige
THIRD	sw_training_forge_vik_reg_tintagol
THIRD	sw_training_forge_vik_reg_tamworthige
SECOND	sw_training_forge_vik_reg_tamworthige
SECOND	sw_training_forge_vik_reg_steanford
FIRST	sw_training_forge_vik_reg_tintagol
FIRST	sw_training_forge_vik_reg_snotingaham
THIRD	sw_training_forge_vik_reg_steanford
THIRD	sw_training_forge_vik_reg_snotingaham
SECOND	sw_training_forge_vik_reg_snotingaham
SECOND	sw_training_forge_vik_reg_seolesigge
FIRST	sw_training_forge_vik_reg_steanford
FIRST	sw_training_forge_vik_reg_scoan
THIRD	sw_training_forge_vik_reg_seolesigge
THIRD	sw_training_forge_vik_reg_scoan
SECOND	sw_training_forge_vik_reg_scoan
SECOND	sw_training_forge_vik_reg_rendlesham
FIRST	sw_training_forge_vik_reg_seolesigge
FIRST	sw_training_forge_vik_reg_rath_cruachan
THIRD	sw_training_forge_vik_reg_rendlesham
THIRD	sw_training_forge_vik_reg_rath_cruachan
SECOND	sw_training_forge_vik_reg_rath_cruachan
SECOND	sw_training_forge_vik_reg_northwic
FIRST	sw_training_forge_vik_reg_rendlesham
FIRST	sw_training_forge_vik_reg_northhamtun
THIRD	sw_training_forge_vik_reg_northwic
THIRD	sw_training_forge_vik_reg_northhamtun
SECOND	sw_training_forge_vik_reg_northhamtun
SECOND	sw_training_forge_vik_reg_nas
FIRST	sw_training_forge_vik_reg_northwic
FIRST	sw_training_forge_vik_reg_mameceaster
THIRD	sw_training_forge_vik_reg_nas
THIRD	sw_training_forge_vik_reg_mameceaster
SECOND	sw_training_forge_vik_reg_mameceaster
SECOND	sw_training_forge_vik_reg_lunden
FIRST	sw_training_forge_vik_reg_nas
FIRST	sw_training_forge_vik_reg_loidis
THIRD	sw_training_forge_vik_reg_lunden
THIRD	sw_training_forge_vik_reg_loidis
SECOND	sw_training_forge_vik_reg_loidis
SECOND	sw_training_forge_vik_reg_lindcylne
FIRST	sw_training_forge_vik_reg_lunden
FIRST	sw_training_forge_vik_reg_ioua
THIRD	sw_training_forge_vik_reg_lindcylne
THIRD	sw_training_forge_vik_reg_ioua
SECOND	sw_training_forge_vik_reg_ioua
SECOND	sw_training_forge_vik_reg_inis_faithlenn
FIRST	sw_training_forge_vik_reg_lindcylne
FIRST	sw_training_forge_vik_reg_hlymrekr
THIRD	sw_training_forge_vik_reg_inis_faithlenn
THIRD	sw_training_forge_vik_reg_hlymrekr
SECOND	sw_training_forge_vik_reg_hlymrekr
SECOND	sw_training_forge_vik_reg_haestingas
FIRST	sw_training_forge_vik_reg_inis_faithlenn
FIRST	sw_training_forge_vik_reg_guvan
THIRD	sw_training_forge_vik_reg_haestingas
THIRD	sw_training_forge_vik_reg_guvan
SECOND	sw_training_forge_vik_reg_guvan
SECOND	sw_training_forge_vik_reg_grianan_aileach
FIRST	sw_training_forge_vik_reg_haestingas
FIRST	sw_training_forge_vik_reg_grantabrycg
THIRD	sw_training_forge_vik_reg_grianan_aileach
THIRD	sw_training_forge_vik_reg_grantabrycg
FIRST	sw_training_hunters_vik_reg_cippanhamm
FIRST	sw_training_hunters_vik_reg_corcach
FIRST	sw_training_hunters_vik_reg_colneceaster
SECOND	sw_training_hunters_vik_reg_cippanhamm
FIRST	sw_training_hunters_vik_reg_cetretha
FIRST	sw_training_hunters_vik_reg_ceaster
FIRST	sw_training_hunters_vik_reg_cathair_commain
SECOND	sw_training_hunters_vik_reg_cetretha
SECOND	sw_training_hunters_vik_reg_ceaster
SECOND	sw_training_hunters_vik_reg_cathair_commain
FIRST	sw_training_hunters_vik_reg_casteltoun
FIRST	sw_training_hunters_vik_reg_carleol
FIRST	sw_training_hunters_vik_reg_cantwaraburg
SECOND	sw_training_hunters_vik_reg_casteltoun
SECOND	sw_training_hunters_vik_reg_carleol
SECOND	sw_training_hunters_vik_reg_cantwaraburg
FIRST	sw_training_hunters_vik_reg_caisil
FIRST	sw_training_hunters_vik_reg_cair_gwent
FIRST	sw_training_hunters_vik_reg_bornais
SECOND	sw_training_hunters_vik_reg_caisil
SECOND	sw_training_hunters_vik_reg_cair_gwent
SECOND	sw_training_hunters_vik_reg_bornais
FIRST	sw_training_hunters_vik_reg_blascona
FIRST	sw_training_hunters_vik_reg_bebbanburg
FIRST	sw_training_hunters_vik_reg_airchardan
SECOND	sw_training_hunters_vik_reg_blascona
SECOND	sw_training_hunters_vik_reg_bebbanburg
SECOND	sw_training_hunters_vik_reg_airchardan
FIRST	sw_training_hunters_vik_reg_aethelingaeg
FIRST	sw_training_hunters_vik_reg_achadh_bo
FIRST	sw_training_hunters_vik_reg_aberteifi
