id	choice_key	dilemma_key	payload_key	value
27272751	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272752	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	TARGET	EVENT
27272753	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272754	SECOND	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272755	THIRD	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272756	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272757	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	TARGET	EVENT
27272758	FIRST	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272759	SECOND	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272760	THIRD	sw_foreign_displacement_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272761	FIRST	sw_foreign_displacement_vik_reg_blascona	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272762	FIRST	sw_foreign_displacement_vik_reg_blascona	TARGET	EVENT
27272763	FIRST	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272764	SECOND	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272765	THIRD	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272766	FIRST	sw_foreign_displacement_vik_reg_blascona	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272767	FIRST	sw_foreign_displacement_vik_reg_blascona	TARGET	EVENT
27272768	FIRST	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272769	SECOND	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272770	THIRD	sw_foreign_displacement_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272771	FIRST	sw_foreign_displacement_vik_reg_bornais	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272772	FIRST	sw_foreign_displacement_vik_reg_bornais	TARGET	EVENT
27272773	FIRST	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272774	SECOND	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272775	THIRD	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272776	FIRST	sw_foreign_displacement_vik_reg_bornais	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272777	FIRST	sw_foreign_displacement_vik_reg_bornais	TARGET	EVENT
27272778	FIRST	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272779	SECOND	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272780	THIRD	sw_foreign_displacement_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272781	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272782	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	TARGET	EVENT
27272783	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272784	SECOND	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272785	THIRD	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272786	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272787	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	TARGET	EVENT
27272788	FIRST	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272789	SECOND	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272790	THIRD	sw_foreign_displacement_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272791	FIRST	sw_foreign_displacement_vik_reg_caisil	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272792	FIRST	sw_foreign_displacement_vik_reg_caisil	TARGET	EVENT
27272793	FIRST	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272794	SECOND	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272795	THIRD	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272796	FIRST	sw_foreign_displacement_vik_reg_caisil	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272797	FIRST	sw_foreign_displacement_vik_reg_caisil	TARGET	EVENT
27272798	FIRST	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272799	SECOND	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272800	THIRD	sw_foreign_displacement_vik_reg_caisil	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272801	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272802	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	TARGET	EVENT
27272803	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272804	SECOND	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272805	THIRD	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272806	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272807	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	TARGET	EVENT
27272808	FIRST	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272809	SECOND	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272810	THIRD	sw_foreign_displacement_vik_reg_cantwaraburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272811	FIRST	sw_foreign_displacement_vik_reg_carleol	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272812	FIRST	sw_foreign_displacement_vik_reg_carleol	TARGET	EVENT
27272813	FIRST	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272814	SECOND	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272815	THIRD	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272816	FIRST	sw_foreign_displacement_vik_reg_carleol	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272817	FIRST	sw_foreign_displacement_vik_reg_carleol	TARGET	EVENT
27272818	FIRST	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272819	SECOND	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272820	THIRD	sw_foreign_displacement_vik_reg_carleol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272821	FIRST	sw_foreign_displacement_vik_reg_casteltoun	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272822	FIRST	sw_foreign_displacement_vik_reg_casteltoun	TARGET	EVENT
27272823	FIRST	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272824	SECOND	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272825	THIRD	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272826	FIRST	sw_foreign_displacement_vik_reg_casteltoun	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272827	FIRST	sw_foreign_displacement_vik_reg_casteltoun	TARGET	EVENT
27272828	FIRST	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272829	SECOND	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272830	THIRD	sw_foreign_displacement_vik_reg_casteltoun	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272831	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272832	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	TARGET	EVENT
27272833	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272834	SECOND	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272835	THIRD	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272836	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272837	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	TARGET	EVENT
27272838	FIRST	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272839	SECOND	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272840	THIRD	sw_foreign_displacement_vik_reg_cathair_commain	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272841	FIRST	sw_foreign_displacement_vik_reg_ceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272842	FIRST	sw_foreign_displacement_vik_reg_ceaster	TARGET	EVENT
27272843	FIRST	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272844	SECOND	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272845	THIRD	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272846	FIRST	sw_foreign_displacement_vik_reg_ceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272847	FIRST	sw_foreign_displacement_vik_reg_ceaster	TARGET	EVENT
27272848	FIRST	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272849	SECOND	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272850	THIRD	sw_foreign_displacement_vik_reg_ceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272851	FIRST	sw_foreign_displacement_vik_reg_cetretha	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272852	FIRST	sw_foreign_displacement_vik_reg_cetretha	TARGET	EVENT
27272853	FIRST	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272854	SECOND	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272855	THIRD	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272856	FIRST	sw_foreign_displacement_vik_reg_cetretha	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272857	FIRST	sw_foreign_displacement_vik_reg_cetretha	TARGET	EVENT
27272858	FIRST	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272859	SECOND	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272860	THIRD	sw_foreign_displacement_vik_reg_cetretha	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272861	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272862	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	TARGET	EVENT
27272863	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272864	SECOND	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272865	THIRD	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272866	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272867	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	TARGET	EVENT
27272868	FIRST	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272869	SECOND	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272870	THIRD	sw_foreign_displacement_vik_reg_cippanhamm	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272871	FIRST	sw_foreign_displacement_vik_reg_colneceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272872	FIRST	sw_foreign_displacement_vik_reg_colneceaster	TARGET	EVENT
27272873	FIRST	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272874	SECOND	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272875	THIRD	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272876	FIRST	sw_foreign_displacement_vik_reg_colneceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272877	FIRST	sw_foreign_displacement_vik_reg_colneceaster	TARGET	EVENT
27272878	FIRST	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272879	SECOND	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272880	THIRD	sw_foreign_displacement_vik_reg_colneceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272881	FIRST	sw_foreign_displacement_vik_reg_corcach	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272882	FIRST	sw_foreign_displacement_vik_reg_corcach	TARGET	EVENT
27272883	FIRST	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272884	SECOND	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272885	THIRD	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272886	FIRST	sw_foreign_displacement_vik_reg_corcach	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272887	FIRST	sw_foreign_displacement_vik_reg_corcach	TARGET	EVENT
27272888	FIRST	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272889	SECOND	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272890	THIRD	sw_foreign_displacement_vik_reg_corcach	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272891	FIRST	sw_foreign_displacement_vik_reg_dinefwr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272892	FIRST	sw_foreign_displacement_vik_reg_dinefwr	TARGET	EVENT
27272893	FIRST	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272894	SECOND	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272895	THIRD	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272896	FIRST	sw_foreign_displacement_vik_reg_dinefwr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272897	FIRST	sw_foreign_displacement_vik_reg_dinefwr	TARGET	EVENT
27272898	FIRST	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272899	SECOND	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272900	THIRD	sw_foreign_displacement_vik_reg_dinefwr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272901	FIRST	sw_foreign_displacement_vik_reg_doreceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272902	FIRST	sw_foreign_displacement_vik_reg_doreceaster	TARGET	EVENT
27272903	FIRST	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272904	SECOND	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272905	THIRD	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272906	FIRST	sw_foreign_displacement_vik_reg_doreceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272907	FIRST	sw_foreign_displacement_vik_reg_doreceaster	TARGET	EVENT
27272908	FIRST	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272909	SECOND	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272910	THIRD	sw_foreign_displacement_vik_reg_doreceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272911	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272912	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	TARGET	EVENT
27272913	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272914	SECOND	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272915	THIRD	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272916	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272917	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	TARGET	EVENT
27272918	FIRST	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272919	SECOND	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272920	THIRD	sw_foreign_displacement_vik_reg_druim_da_ethiar	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272921	FIRST	sw_foreign_displacement_vik_reg_dun_att	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272922	FIRST	sw_foreign_displacement_vik_reg_dun_att	TARGET	EVENT
27272923	FIRST	sw_foreign_displacement_vik_reg_dun_att	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272924	SECOND	sw_foreign_displacement_vik_reg_dun_att	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27272925	THIRD	sw_foreign_displacement_vik_reg_dun_att	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272926	FIRST	sw_foreign_displacement_vik_reg_dun_att	sw_foreign_displacement_1	DURATION[4];GLOBAL
27272927	FIRST	sw_foreign_displacement_vik_reg_dun_att	TARGET	EVENT
27272928	FIRST	sw_foreign_displacement_vik_reg_dun_att	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27272929	SECOND	sw_foreign_displacement_vik_reg_dun_att	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
