key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	penetration	incendiary	can_bounce	high_air_resistance	collision_radius	base_reload_time	below_waterline_damage_modifier	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_elephant	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	burst_size	burst_shot_delay	explosion_spread	fire_damage
boiling_oil	misc	oil	att_boiling_oil_splash	none	1	low	80	0	90	30.0	5.0	0.0	10	3	medium		false	false	0.3	99999.0	0.0	50.0	1.0	0	2	0	boiling_oil		none	-1.0	false	boiling_oil	false	1	0.0		0.0
debug_projectile	artillery	artillery_default		none	1	low	500	50	30	-1.0	5.0	0.0	200	200	medium		true	false	0.1	34.0	0.0	500.0	175.0	0	2	0	rock_large		rock_large	0.5	true		false	1	0.0		0.0
fireball	fireball	artillery_flammable	fireball_explosion	shell_spin	1	low	22	25	60	20.0	5.0	0.0	0	160	medium	very_high	true	false	0.9	17.0	0.0	11.0	1.0	0	2	0	fireball		fireball	1.8	false		false	1	0.0		50.0
flame	artillery	artillery_flammable	att_fire_ignition	none	1	low	80	0	44	30.0	5.0	0.0	0	150		very_high	false	false	0.3	34.0	0.0	40.0	1.0	0	2	0	default_standard		torch	-1.0	false		false	1	0.0	att_fire_spread	50.0
heavy_poison_arrows	arrow	small_arm_poison		none	1	low	150	0	44	45.0	5.0	0.0	14	2			false	false	0.1	60.0	0.0	50.0	1.0	0	2	0	arrow_poison		arrow	-1.0	false	slav_poison_weapon_heavy	false	1	0.0		0.0
poison_arrows	arrow	small_arm_poison		none	1	low	150	0	44	45.0	5.0	0.0	14	2			false	false	0.1	60.0	0.0	50.0	1.0	0	2	0	arrow_poison		arrow	-1.0	false	slav_poison_weapon_light	false	1	0.0		0.0
poison_javellins	javelin	small_arm_poison		none	1	low	80	0	38	25.0	5.0	1.0	70	20			false	false	0.1	14.0	0.0	30.0	1.0	0	2	0	arrow_poison		javelin	-1.0	false	slav_poison_weapon_heavy	false	1	0.0		0.0
torch	misc	torch		axe_spin	1	low	50	0	70	25.0	5.0	0.0	1	0		low	true	false	0.1	2.0	0.0	50.0	1.0	0	2	0	torch		torch	-1.0	true		false	1	0.0		1.0
torch_firestarter	misc	torch		axe_spin	1	low	50	0	70	25.0	5.0	0.0	14	1		low	false	false	0.1	2.0	0.0	50.0	1.0	0	2	0	torch		torch	-1.0	true		false	1	0.0		100.0
vik_bow_elite_flaming	arrow	small_arm_flaming	att_fire_ignition_arrow	none	1	low	165	0	44	40.0	0.0	0.0	10	1		low	false	false	0.1	22.0	0.0	100.0	2.0	0	4	0	arrow_flaming		arrow_flaming	-1.0	false	fire_projectiles	false	1	0.0		1.0
vik_bow_elite_heavy	arrow	small_arm_heavy		none	1	low	165	0	44	40.0	0.0	0.0	8	6			false	false	0.1	22.0	0.0	100.0	2.0	5	2	0	arrow_heavy		arrow	-1.0	false	vik_professional_archers	false	1	0.0		0.0
vik_bow_flaming	arrow	small_arm_flaming	att_fire_ignition_arrow	none	1	low	150	0	44	40.0	0.0	0.0	14	1		low	false	false	0.1	20.0	0.0	100.0	2.0	0	4	0	arrow_flaming		arrow_flaming	-1.0	false	fire_projectiles	false	1	0.0		1.0
vik_bow_heavy	arrow	small_arm_heavy		none	1	low	150	0	44	40.0	0.0	0.0	4	4			false	false	0.1	20.0	0.0	100.0	2.0	5	2	0	arrow_heavy		arrow	-1.0	false		false	1	0.0		0.0
vik_bow_levy_flaming	arrow	small_arm_flaming	att_fire_ignition_arrow	none	1	low	135	0	44	40.0	0.0	0.0	6	1		low	false	false	0.1	14.0	0.0	100.0	2.0	0	4	0	arrow_flaming		arrow_flaming	-1.0	false	fire_projectiles	false	1	0.0		1.0
vik_bow_levy_heavy	arrow	small_arm_heavy		none	1	low	135	0	44	40.0	0.0	0.0	4	2			false	false	0.1	14.0	0.0	100.0	2.0	5	2	0	arrow_heavy		arrow	-1.0	false	vik_hail	false	1	0.0		0.0
vik_bow_whistling	arrow	small_arm_whistling		none	1	low	150	0	44	40.0	0.0	0.0	5	2			false	false	0.1	20.0	0.0	100.0	2.0	0	2	0	arrow_whistling	severe_morale_hit	arrow_whistling	-1.0	false		false	1	0.0		0.0
vik_catapult_rock_flaming	artillery	artillery_flammable	att_fire_ignition	shell_spin	1	fixed	350	75	30	-1.0	0.0	0.0	100	60	medium	very_high	true	false	0.1	30.0	0.0	100.0	2.0	0	2	0	rock_flammable		rock_flaming	0.5	true	fire_projectiles	false	1	0.0	att_fire_spread	350.0
vik_javelin_elite	javelin	small_arm_default		none	1	low	80	0	38	25.0	0.0	1.0	8	15			false	false	0.1	8.0	0.0	100.0	2.0	0	2	0	javelin		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_levy	javelin	small_arm_default		none	1	low	75	0	38	25.0	0.0	1.0	28	9			false	false	0.1	8.0	0.0	100.0	2.0	0	2	0	javelin		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_javelin_normal	javelin	small_arm_default		none	1	low	75	0	38	25.0	0.0	1.0	5	7			false	false	0.1	8.0	0.0	100.0	2.0	0	2	0	javelin		javelin	-1.0	false	vik_stopping_power	false	1	0.0		0.0
vik_longbow_flaming	arrow	small_arm_flaming	att_fire_ignition_arrow	none	1	low	165	0	44	55.0	0.0	0.0	16	1		low	false	false	0.1	25.0	0.0	100.0	2.0	0	4	0	arrow_flaming		arrow_flaming	-1.0	false	fire_projectiles	false	1	0.0		1.0
vik_longbow_heavy	arrow	small_arm_heavy		none	1	low	165	0	44	55.0	0.0	0.0	10	8			false	false	0.1	25.0	0.0	100.0	2.0	5	2	0	arrow_heavy		arrow	-1.0	false	vik_sniped	false	1	0.0		0.0
