key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
lzd_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
lzd_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
lzd_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
skv_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
skv_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
skv_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
skv_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
skv_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
skv_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
skv_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
wef_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
wef_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
wef_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
wef_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
wef_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
wef_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
wef_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
emp_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_jubilant.png	true	false	true
emp_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_outraged.png	true	false	true
emp_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_unhappy.png	true	false	true
emp_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_troubled.png	true	false	true
emp_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_indifferent.png	true	false	true
emp_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_content.png	true	false	true
emp_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_happy.png	true	false	true
brt_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
brt_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
brt_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
brt_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
brt_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
brt_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
brt_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
vmp_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
vmp_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
vmp_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
vmp_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
vmp_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
vmp_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
vmp_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
dwf_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
dwf_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
dwf_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
dwf_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
dwf_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
dwf_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
dwf_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
grn_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
grn_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
grn_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
grn_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
grn_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
grn_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
grn_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
tmb_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
tmb_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
tmb_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
tmb_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
tmb_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
tmb_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
tmb_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
nor_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
nor_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
nor_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
nor_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
nor_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
nor_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
nor_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
cst_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
cst_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
cst_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
cst_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
cst_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
cst_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
cst_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
hef_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
hef_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
hef_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
hef_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
hef_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
hef_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
hef_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
cth_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
cth_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
cth_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
cth_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
cth_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
cth_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
cth_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
dae_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
dae_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
dae_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
dae_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
dae_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
dae_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
dae_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
kho_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
kho_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
kho_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
kho_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
kho_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
kho_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
kho_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
ksl_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
ksl_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
ksl_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
ksl_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
ksl_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
ksl_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
ksl_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
nur_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
nur_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
nur_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
nur_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
nur_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
nur_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
nur_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
ogr_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
ogr_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
ogr_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
ogr_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
ogr_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
ogr_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
ogr_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
sla_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
sla_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
sla_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
sla_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
sla_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
sla_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
sla_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
tze_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
tze_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
tze_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
tze_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
tze_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
tze_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
tze_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
chs_public_order_1_outraged	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -75 to -100)	Weak	province	0	public_order_outraged.png	true	false	true
chs_public_order_2_unhappy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -50 to -75)	Wavering	province	0	public_order_unhappy.png	true	false	true
chs_public_order_3_troubled	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to -50)	Insecure	province	0	public_order_troubled.png	true	false	true
chs_public_order_4_indifferent	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: -25 to 25)	Steady	province	0	public_order_indifferent.png	true	false	true
chs_public_order_5_content	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 25 to 50)	Tightened	province	0	public_order_content.png	true	false	true
chs_public_order_6_happy	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 50 to 75)	Strong	province	0	public_order_happy.png	true	false	true
chs_public_order_7_jubilant	([[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}}: 75 to 100)	Absolute	province	0	public_order_jubilant.png	true	false	true
