building	culture	subculture	faction	battlefield_building	artpiece	artpiece_animated	description	icon	disables	short_description	flavour	display_tooltip
vik_alehouse_1					campaign_sho_castle_1_fort		vik_alehouse_long	vik_alehouse	false	vik_alehouse_1_short	rom_PLACEHOLDER	true
vik_alehouse_2					campaign_sho_castle_1_fort		vik_alehouse_long	vik_alehouse	true	vik_alehouse_2_short	rom_PLACEHOLDER	true
vik_alehouse_3					campaign_sho_castle_1_fort		vik_alehouse_long	vik_alehouse	true	vik_alehouse_3_short	rom_PLACEHOLDER	true
vik_apple_ash_1					campaign_sho_castle_1_fort		vik_apple_ash_long	vik_apple_ash	false	vik_apple_ash_1_short	rom_PLACEHOLDER	true
vik_apple_ash_2					campaign_sho_castle_1_fort		vik_apple_ash_long	vik_apple_ash	false	vik_apple_ash_2_short	rom_PLACEHOLDER	true
vik_apple_ash_3					campaign_sho_castle_1_fort		vik_apple_ash_long	vik_apple_ash	false	vik_apple_ash_3_short	rom_PLACEHOLDER	true
vik_arena_1					campaign_sho_castle_1_fort		vik_arena_long	vik_arena	false	vik_arena_1_short	rom_PLACEHOLDER	true
vik_arena_2					campaign_sho_castle_1_fort		vik_arena_long	vik_arena	false	vik_arena_2_short	rom_PLACEHOLDER	true
vik_arena_3					campaign_sho_castle_1_fort		vik_arena_long	vik_arena	false	vik_arena_3_short	rom_PLACEHOLDER	true
vik_artisans_1					campaign_sho_castle_1_fort		vik_artisans_long	vik_goldsmith	false	vik_artisans_1_short	rom_PLACEHOLDER	true
vik_artisans_2					campaign_sho_castle_1_fort		vik_artisans_long	vik_goldsmith	false	vik_artisans_2_short	rom_PLACEHOLDER	true
vik_artisans_3					campaign_sho_castle_1_fort		vik_artisans_long	vik_goldsmith	false	vik_artisans_3_short	rom_PLACEHOLDER	true
vik_assembly_1					campaign_sho_castle_1_fort		vik_assembly_long	vik_assembly	false	vik_assembly_1_short	rom_PLACEHOLDER	true
vik_assembly_2					campaign_sho_castle_1_fort		vik_assembly_long	vik_assembly	false	vik_assembly_2_short	rom_PLACEHOLDER	true
vik_assembly_3					campaign_sho_castle_1_fort		vik_assembly_long	vik_assembly	false	vik_assembly_3_short	rom_PLACEHOLDER	true
vik_bard_1					campaign_sho_castle_1_fort		vik_bard_long	vik_bard	false	vik_bard_1_short	rom_PLACEHOLDER	true
vik_bard_2					campaign_sho_castle_1_fort		vik_bard_long	vik_bard	false	vik_bard_2_short	rom_PLACEHOLDER	true
vik_bard_3					campaign_sho_castle_1_fort		vik_bard_long	vik_bard	false	vik_bard_3_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_1					campaign_sho_castle_1_fort		vik_church_long	vik_benedictine_abbey	false	vik_benedictine_abbey_1_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_2					campaign_sho_castle_1_fort		vik_church_long	vik_benedictine_abbey	false	vik_benedictine_abbey_2_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_3					campaign_sho_castle_1_fort		vik_church_long	vik_benedictine_abbey	true	vik_benedictine_abbey_3_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_4					campaign_sho_castle_1_fort		vik_church_long	vik_benedictine_abbey	true	vik_benedictine_abbey_4_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_5					campaign_sho_castle_1_fort		vik_church_long	vik_benedictine_abbey	true	vik_benedictine_abbey_5_short	rom_PLACEHOLDER	true
vik_benedictine_abbey_b_2					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	false	vik_abbey_b_2	rom_PLACEHOLDER	true
vik_benedictine_abbey_b_3					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_3	rom_PLACEHOLDER	true
vik_benedictine_abbey_b_4					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_4	rom_PLACEHOLDER	true
vik_benedictine_abbey_b_5					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_5	rom_PLACEHOLDER	true
vik_bullaun_1					campaign_sho_castle_1_fort		vik_bullaun_long	vik_bullaun	false	vil_bullaun_1_short	rom_PLACEHOLDER	true
vik_bullaun_2					campaign_sho_castle_1_fort		vik_bullaun_long	vik_bullaun	false	vil_bullaun_2_short	rom_PLACEHOLDER	true
vik_bullaun_3					campaign_sho_castle_1_fort		vik_bullaun_long	vik_bullaun	false	vil_bullaun_3_short	rom_PLACEHOLDER	true
vik_ceil_de_abbey_b_2					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	false	vik_abbey_b_2	rom_PLACEHOLDER	true
vik_ceil_de_abbey_b_3					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_3	rom_PLACEHOLDER	true
vik_ceil_de_abbey_b_4					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_4	rom_PLACEHOLDER	true
vik_ceil_de_abbey_b_5					campaign_sho_castle_1_fort		vik_church_long	vik_abbey_patch	true	vik_abbey_b_5	rom_PLACEHOLDER	true
vik_celi_de_abbey_1					campaign_sho_castle_1_fort		vik_celi_de_abbey_long	vik_celi_de_abbey	false	vik_celi_de_abbey_1_short	rom_PLACEHOLDER	true
vik_celi_de_abbey_2					campaign_sho_castle_1_fort		vik_celi_de_abbey_long	vik_celi_de_abbey	false	vik_celi_de_abbey_2_short	rom_PLACEHOLDER	true
vik_celi_de_abbey_3					campaign_sho_castle_1_fort		vik_celi_de_abbey_long	vik_celi_de_abbey	true	vik_celi_de_abbey_3_short	rom_PLACEHOLDER	true
vik_celi_de_abbey_4					campaign_sho_castle_1_fort		vik_celi_de_abbey_long	vik_celi_de_abbey	true	vik_celi_de_abbey_4_short	rom_PLACEHOLDER	true
vik_celi_de_abbey_5					campaign_sho_castle_1_fort		vik_celi_de_abbey_long	vik_celi_de_abbey	true	vik_celi_de_abbey_5_short	rom_PLACEHOLDER	true
vik_church_1					campaign_sho_castle_1_fort		vik_church_long	vik_church	false	vik_church_1_short	rom_PLACEHOLDER	true
vik_church_2					campaign_sho_castle_1_fort		vik_church_long	vik_church	false	vik_church_2_short	rom_PLACEHOLDER	true
vik_church_2		vik_sub_cult_english			campaign_sho_castle_1_fort		vik_church_long	vik_church	false	vik_church_2_eng_short	rom_PLACEHOLDER	true
vik_church_3					campaign_sho_castle_1_fort		vik_church_long	vik_church	false	vik_church_3_short	rom_PLACEHOLDER	true
vik_church_crafts_1					campaign_sho_castle_1_fort		vik_church_crafts_long	vik_church_crafts	false	vik_church_crafts_1_short	rom_PLACEHOLDER	true
vik_church_crafts_2					campaign_sho_castle_1_fort		vik_church_crafts_long	vik_church_crafts	false	vik_church_crafts_2_short	rom_PLACEHOLDER	true
vik_church_crafts_3					campaign_sho_castle_1_fort		vik_church_crafts_long	vik_church_crafts	false	vik_church_crafts_3_short	rom_PLACEHOLDER	true
vik_cloth_1					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth	false	vik_cloth_1_short	rom_PLACEHOLDER	true
vik_cloth_2					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_maker	false	vik_cloth_2_short	rom_PLACEHOLDER	true
vik_cloth_3					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_maker	false	vik_cloth_3_short	rom_PLACEHOLDER	true
vik_cloth_4					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_maker	true	vik_cloth_4_short	rom_PLACEHOLDER	true
vik_cloth_5					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_maker	true	vik_cloth_5_short	rom_PLACEHOLDER	true
vik_cloth_b_2					campaign_sho_castle_1_fort		vik_cloth_long	vik_horse	false	vik_cloth_b_2	rom_PLACEHOLDER	true
vik_cloth_b_3					campaign_sho_castle_1_fort		vik_cloth_long	vik_horse	false	vik_cloth_b_3	rom_PLACEHOLDER	true
vik_cloth_b_4					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_trader	true	vik_cloth_b_4	rom_PLACEHOLDER	true
vik_cloth_b_5					campaign_sho_castle_1_fort		vik_cloth_long	vik_cloth_trader	true	vik_cloth_b_5	rom_PLACEHOLDER	true
vik_copper_1					campaign_sho_castle_1_fort		vik_copper_long	vik_copper	false	vik_copper_1_short	rom_PLACEHOLDER	true
vik_copper_2					campaign_sho_castle_1_fort		vik_copper_long	vik_copper_foundry	false	vik_copper_2_short	rom_PLACEHOLDER	true
vik_copper_3					campaign_sho_castle_1_fort		vik_copper_long	vik_copper_foundry	false	vik_copper_3_short	rom_PLACEHOLDER	true
vik_copper_4					campaign_sho_castle_1_fort		vik_copper_long	vik_copper_foundry	true	vik_copper_4_short	rom_PLACEHOLDER	true
vik_copper_5					campaign_sho_castle_1_fort		vik_copper_long	vik_copper_foundry	true	vik_copper_5_short	rom_PLACEHOLDER	true
vik_copper_b_2					campaign_sho_castle_1_fort		vik_copper_long	vik_coppersmith_patch	true	vik_copper_b_2	rom_PLACEHOLDER	true
vik_copper_b_3					campaign_sho_castle_1_fort		vik_copper_long	vik_coppersmith_patch	true	vik_copper_b_3	rom_PLACEHOLDER	true
vik_copper_b_4					campaign_sho_castle_1_fort		vik_copper_long	vik_coppersmith_patch	true	vik_copper_b_4	rom_PLACEHOLDER	true
vik_copper_b_5					campaign_sho_castle_1_fort		vik_copper_long	vik_coppersmith_patch	true	vik_copper_b_5	rom_PLACEHOLDER	true
vik_court_1					campaign_sho_castle_1_fort		vik_court_long	vik_court	false	vik_court_1_short	rom_PLACEHOLDER	true
vik_court_2					campaign_sho_castle_1_fort		vik_court_long	vik_court	false	vik_court_2_short	rom_PLACEHOLDER	true
vik_court_3					campaign_sho_castle_1_fort		vik_court_long	vik_court	false	vik_court_3_short	rom_PLACEHOLDER	true
vik_court_school_1					campaign_sho_castle_1_fort		vik_court_school_long	vik_court_school	false	vik_court_school_1_short	rom_PLACEHOLDER	true
vik_court_school_2					campaign_sho_castle_1_fort		vik_court_school_long	vik_court_school	false	vik_court_school_2_short	rom_PLACEHOLDER	true
vik_court_school_3					campaign_sho_castle_1_fort		vik_court_school_long	vik_court_school	false	vik_court_school_3_short	rom_PLACEHOLDER	true
vik_craft_merchant_1					campaign_sho_castle_1_fort		vik_craft_merchant_long	vik_coppersmith	false	vik_craft_merchant_1_short	rom_PLACEHOLDER	true
vik_craft_merchant_2					campaign_sho_castle_1_fort		vik_craft_merchant_long	vik_artisans	false	vik_craft_merchant_2_short	rom_PLACEHOLDER	true
vik_craft_merchant_3					campaign_sho_castle_1_fort		vik_craft_merchant_long	vik_artisans	false	vik_craft_merchant_3_short	rom_PLACEHOLDER	true
vik_embroiders_1					campaign_sho_castle_1_fort		vik_embroiders_long	vik_embroiders	false	vik_embroiders_1_short	rom_PLACEHOLDER	true
vik_embroiders_2					campaign_sho_castle_1_fort		vik_embroiders_long	vik_embroiders	false	vik_embroiders_2_short	rom_PLACEHOLDER	true
vik_embroiders_3					campaign_sho_castle_1_fort		vik_embroiders_long	vik_embroiders	false	vik_embroiders_3_short	rom_PLACEHOLDER	true
vik_estate_1					campaign_sho_castle_1_fort		vik_estate_long	vik_estate	false	vik_estate_1_short	rom_PLACEHOLDER	true
vik_estate_2					campaign_sho_castle_1_fort		vik_estate_long	vik_estate	false	vik_estate_2_short	rom_PLACEHOLDER	true
vik_estate_3					campaign_sho_castle_1_fort		vik_estate_long	vik_estate	false	vik_estate_3_short	rom_PLACEHOLDER	true
vik_farm_1					campaign_sho_castle_1_fort		vik_farm_long	vik_farm	false	vik_farm_1_short	rom_PLACEHOLDER	true
vik_farm_2					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_food	false	vik_farm_2_short	rom_PLACEHOLDER	true
vik_farm_3					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_food	false	vik_farm_3_short	rom_PLACEHOLDER	true
vik_farm_4					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_food	true	vik_farm_4_short	rom_PLACEHOLDER	true
vik_farm_5					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_food	true	vik_farm_5_short	rom_PLACEHOLDER	true
vik_farm_b_2					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_manor	false	vik_farm_b_2	rom_PLACEHOLDER	true
vik_farm_b_3					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_manor	false	vik_farm_b_3	rom_PLACEHOLDER	true
vik_farm_b_4					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_manor	true	vik_farm_b_4	rom_PLACEHOLDER	true
vik_farm_b_5					campaign_sho_castle_1_fort		vik_farm_long	vik_farm_manor	true	vik_farm_b_5	rom_PLACEHOLDER	true
vik_fishing_1					campaign_sho_castle_1_fort		vik_fishing_long	vik_fishing	false	vik_fishing_1_short	rom_PLACEHOLDER	true
vik_fishing_2					campaign_sho_castle_1_fort		vik_fishing_long	vik_fishmonger	false	vik_fishing_2_short	rom_PLACEHOLDER	true
vik_fishing_3					campaign_sho_castle_1_fort		vik_fishing_long	vik_fishing_port	false	vik_fishing_3_short	rom_PLACEHOLDER	true
vik_fishing_4					campaign_sho_castle_1_fort		vik_fishing_long	vik_fishing_port	true	vik_fishing_4_short	rom_PLACEHOLDER	true
vik_fishing_5					campaign_sho_castle_1_fort		vik_fishing_long	vik_fishing_port	true	vik_fishing_5_short	rom_PLACEHOLDER	true
vik_fishing_b_2					campaign_sho_castle_1_fort		vik_trade_long	vik_trade	false	vik_fishing_b_2_short	rom_PLACEHOLDER	true
vik_fishing_b_3					campaign_sho_castle_1_fort		vik_trade_long	vik_trade_wharf	false	vik_fishing_b_3_short	rom_PLACEHOLDER	true
vik_fishing_b_4					campaign_sho_castle_1_fort		vik_trade_long	vik_trade	true	vik_fishing_b_4_short	rom_PLACEHOLDER	true
vik_fishing_b_5					campaign_sho_castle_1_fort		vik_fishing_long	vik_trade	true	vik_fishing_b_5_short	rom_PLACEHOLDER	true
vik_fogou_1					campaign_sho_castle_1_fort		vik_fogou_long	vik_fogou	false	vik_fogou_1_short	rom_PLACEHOLDER	true
vik_fogou_2					campaign_sho_castle_1_fort		vik_fogou_long	vik_fogou	false	vik_fogou_2_short	rom_PLACEHOLDER	true
vik_fogou_3					campaign_sho_castle_1_fort		vik_fogou_long	vik_fogou	false	vik_fogou_3_short	rom_PLACEHOLDER	true
vik_forge_1					campaign_sho_castle_1_fort		vik_forge_long	vik_forge	false	vik_forge_1_short	rom_PLACEHOLDER	true
vik_forge_2					campaign_sho_castle_1_fort		vik_forge_long	vik_forge	false	vik_forge_2_short	rom_PLACEHOLDER	true
vik_forge_3					campaign_sho_castle_1_fort		vik_forge_long	vik_forge	false	vik_forge_3_short	rom_PLACEHOLDER	true
vik_garrison_1					campaign_sho_castle_1_fort		vik_garrison_long	vik_garrison	false	vik_garrison_1_short	rom_PLACEHOLDER	true
vik_garrison_2					campaign_sho_castle_1_fort		vik_garrison_long	vik_garrison	false	vik_garrison_2_short	rom_PLACEHOLDER	true
vik_garrison_3					campaign_sho_castle_1_fort		vik_garrison_long	vik_garrison	true	vik_garrison_3_short	rom_PLACEHOLDER	true
vik_garrison_4					campaign_sho_castle_1_fort		vik_garrison_long	vik_garrison	true	vik_garrison_4_short	rom_PLACEHOLDER	true
vik_garrison_5					campaign_sho_castle_1_fort		vik_garrison_long	vik_garrison	true	vik_garrison_5_short	rom_PLACEHOLDER	true
vik_gold_1					campaign_sho_castle_1_fort		vik_gold_long	vik_gold	false	vik_gold_1_short	rom_PLACEHOLDER	true
vik_gold_2					campaign_sho_castle_1_fort		vik_gold_long	vik_gold	false	vik_gold_2_short	rom_PLACEHOLDER	true
vik_gold_3					campaign_sho_castle_1_fort		vik_gold_long	vik_gold_foundry	false	vik_gold_3_short	rom_PLACEHOLDER	true
vik_gold_4					campaign_sho_castle_1_fort		vik_gold_long	vik_gold_foundry	true	vik_gold_4_short	rom_PLACEHOLDER	true
vik_gold_5					campaign_sho_castle_1_fort		vik_gold_long	vik_gold_foundry	true	vik_gold_5_short	rom_PLACEHOLDER	true
vik_gold_b_2					campaign_sho_castle_1_fort		vik_gold_long	vik_goldsmith_patch	true	vik_gold_b_2	rom_PLACEHOLDER	true
vik_gold_b_3					campaign_sho_castle_1_fort		vik_gold_long	vik_goldsmith_patch	true	vik_gold_b_3	rom_PLACEHOLDER	true
vik_gold_b_4					campaign_sho_castle_1_fort		vik_gold_long	vik_goldsmith_patch	true	vik_gold_b_4	rom_PLACEHOLDER	true
vik_gold_b_5					campaign_sho_castle_1_fort		vik_gold_long	vik_goldsmith_patch	true	vik_gold_b_5	rom_PLACEHOLDER	true
vik_granary_1					campaign_sho_castle_1_fort		vik_granary_long	vik_granary	false	vik_granary_1_short	rom_PLACEHOLDER	true
vik_granary_2					campaign_sho_castle_1_fort		vik_granary_long	vik_granary	false	vik_granary_2_short	rom_PLACEHOLDER	true
vik_granary_3					campaign_sho_castle_1_fort		vik_granary_long	vik_granary	true	vik_granary_3_short	rom_PLACEHOLDER	true
vik_great_hall_1					campaign_sho_castle_1_fort		vik_great_hall_long	vik_great_hall	false	vik_great_hall_1_short	rom_PLACEHOLDER	true
vik_great_hall_2					campaign_sho_castle_1_fort		vik_great_hall_long	vik_great_hall	false	vik_great_hall_2_short	rom_PLACEHOLDER	true
vik_great_hall_3					campaign_sho_castle_1_fort		vik_great_hall_long	vik_great_hall	false	vik_great_hall_3_short	rom_PLACEHOLDER	true
vik_great_hall_4					campaign_sho_castle_1_fort		vik_great_hall_long	vik_great_hall	false	vik_great_hall_4_short	rom_PLACEHOLDER	true
vik_great_hall_5					campaign_sho_castle_1_fort		vik_great_hall_long	vik_great_hall	false	vik_great_hall_5_short	rom_PLACEHOLDER	true
vik_grianan_ailech_1					campaign_sho_castle_1_fort		vik_grianan_ailech_long	vik_grianan_ailech	false	vik_grianan_ailech_1_short	rom_PLACEHOLDER	true
vik_grianan_ailech_2					campaign_sho_castle_1_fort		vik_grianan_ailech_long	vik_grianan_ailech	false	vik_grianan_ailech_2_short	rom_PLACEHOLDER	true
vik_grianan_ailech_3					campaign_sho_castle_1_fort		vik_grianan_ailech_long	vik_grianan_ailech	false	vik_grianan_ailech_3_short	rom_PLACEHOLDER	true
vik_grianan_ailech_4					campaign_sho_castle_1_fort		vik_grianan_ailech_long	vik_grianan_ailech	false	vik_grianan_ailech_4_short	rom_PLACEHOLDER	true
vik_grianan_ailech_5					campaign_sho_castle_1_fort		vik_grianan_ailech_long	vik_grianan_ailech	false	vik_grianan_ailech_5_short	rom_PLACEHOLDER	true
vik_guildhall_1					campaign_sho_castle_1_fort		vik_guildhall_long	vik_guildhall	false	vik_guildhall_1_short	rom_PLACEHOLDER	true
vik_guildhall_2					campaign_sho_castle_1_fort		vik_guildhall_long	vik_guildhall	false	vik_guildhall_2_short	rom_PLACEHOLDER	true
vik_guildhall_3					campaign_sho_castle_1_fort		vik_guildhall_long	vik_guildhall	false	vik_guildhall_3_short	rom_PLACEHOLDER	true
vik_high_cross_1					campaign_sho_castle_1_fort		vik_high_cross_long	vik_high_cross	false	vik_high_cross_1_short	rom_PLACEHOLDER	true
vik_high_cross_2					campaign_sho_castle_1_fort		vik_high_cross_long	vik_high_cross	false	vik_high_cross_2_short	rom_PLACEHOLDER	true
vik_hunting_1					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting	false	vik_hunting_1_short	rom_PLACEHOLDER	true
vik_hunting_2					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_trader	false	vik_hunting_2_short	rom_PLACEHOLDER	true
vik_hunting_3					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_trader	false	vik_hunting_3_short	rom_PLACEHOLDER	true
vik_hunting_4					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_trader	true	vik_hunting_4_short	rom_PLACEHOLDER	true
vik_hunting_5					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_trader	true	vik_hunting_5_short	rom_PLACEHOLDER	true
vik_hunting_b_2					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_lodge	false	vik_hunting_b_2	rom_PLACEHOLDER	true
vik_hunting_b_3					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_lodge	false	vik_hunting_b_3	rom_PLACEHOLDER	true
vik_hunting_b_4					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_lodge	true	vik_hunting_b_4	rom_PLACEHOLDER	true
vik_hunting_b_5					campaign_sho_castle_1_fort		vik_hunting_long	vik_hunting_lodge	true	vik_hunting_b_5	rom_PLACEHOLDER	true
vik_iron_1					campaign_sho_castle_1_fort		vik_iron_long	vik_iron	false	vik_iron_1_short	rom_PLACEHOLDER	true
vik_iron_2					campaign_sho_castle_1_fort		vik_iron_long	vik_iron	false	vik_iron_2_short	rom_PLACEHOLDER	true
vik_iron_3					campaign_sho_castle_1_fort		vik_iron_long	vik_iron_foundry	false	vik_iron_3_short	rom_PLACEHOLDER	true
vik_iron_4					campaign_sho_castle_1_fort		vik_iron_long	vik_iron_foundry	true	vik_iron_4_short	rom_PLACEHOLDER	true
vik_iron_5					campaign_sho_castle_1_fort		vik_iron_long	vik_iron_foundry	true	vik_iron_5_short	rom_PLACEHOLDER	true
vik_iron_b_2					campaign_sho_castle_1_fort		vik_iron_long	vik_ironsmith	true	vik_iron_b_2	rom_PLACEHOLDER	true
vik_iron_b_3					campaign_sho_castle_1_fort		vik_iron_long	vik_ironsmith	true	vik_iron_b_3	rom_PLACEHOLDER	true
vik_iron_b_4					campaign_sho_castle_1_fort		vik_iron_long	vik_ironsmith	true	vik_iron_b_4	rom_PLACEHOLDER	true
vik_iron_b_5					campaign_sho_castle_1_fort		vik_iron_long	vik_ironsmith	true	vik_iron_b_5	rom_PLACEHOLDER	true
vik_konungsgurtha_1					campaign_sho_castle_1_fort		vik_konungsgurtha_long	vik_konungsgurtha	false	vik_konungsgurtha_1_short	rom_PLACEHOLDER	true
vik_konungsgurtha_2					campaign_sho_castle_1_fort		vik_konungsgurtha_long	vik_konungsgurtha	false	vik_konungsgurtha_2_short	rom_PLACEHOLDER	true
vik_konungsgurtha_3					campaign_sho_castle_1_fort		vik_konungsgurtha_long	vik_konungsgurtha	false	vik_konungsgurtha_3_short	rom_PLACEHOLDER	true
vik_lead_1					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass	false	vik_lead_1_short	rom_PLACEHOLDER	true
vik_lead_2					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass	false	vik_lead_2_short	rom_PLACEHOLDER	true
vik_lead_3					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass	false	vik_lead_3_short	rom_PLACEHOLDER	true
vik_lead_4					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass	true	vik_lead_4_short	rom_PLACEHOLDER	true
vik_lead_5					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass	true	vik_lead_5_short	rom_PLACEHOLDER	true
vik_lead_b_2					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass_patch	true	vik_lead_b_2	rom_PLACEHOLDER	true
vik_lead_b_3					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass_patch	true	vik_lead_b_3	rom_PLACEHOLDER	true
vik_lead_b_4					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass_patch	true	vik_lead_b_4	rom_PLACEHOLDER	true
vik_lead_b_5					campaign_sho_castle_1_fort		vik_lead_long	vik_lead_glass_patch	true	vik_lead_b_5	rom_PLACEHOLDER	true
vik_library_1					campaign_sho_castle_1_fort		vik_library_long	vik_library	false	vik_library_1_short	rom_PLACEHOLDER	true
vik_library_2					campaign_sho_castle_1_fort		vik_library_long	vik_library	false	vik_library_2_short	rom_PLACEHOLDER	true
vik_library_3					campaign_sho_castle_1_fort		vik_library_long	vik_library	false	vik_library_3_short	rom_PLACEHOLDER	true
vik_longphort_1					campaign_sho_castle_1_fort		vik_longphort_long	vik_longphort	false	vik_longphort_1_short	rom_PLACEHOLDER	true
vik_longphort_2					campaign_sho_castle_1_fort		vik_longphort_long	vik_longphort	false	vik_longphort_2_short	rom_PLACEHOLDER	true
vik_longphort_3					campaign_sho_castle_1_fort		vik_longphort_long	vik_longphort	false	vik_longphort_3_short	rom_PLACEHOLDER	true
vik_longphort_4					campaign_sho_castle_1_fort		vik_longphort_long	vik_longphort	false	vik_longphort_4_short	rom_PLACEHOLDER	true
vik_longphort_5					campaign_sho_castle_1_fort		vik_longphort_long	vik_longphort	false	vik_longphort_5_short	rom_PLACEHOLDER	true
vik_market_1					campaign_sho_castle_1_fort		vik_market_long	vik_market	false	vik_market_1_short	rom_PLACEHOLDER	true
vik_market_2					campaign_sho_castle_1_fort		vik_market_long	vik_market	false	vik_market_2_short	rom_PLACEHOLDER	true
vik_market_3					campaign_sho_castle_1_fort		vik_market_long	vik_market	false	vik_market_3_short	rom_PLACEHOLDER	true
vik_market_4					campaign_sho_castle_1_fort		vik_market_long	vik_market	false	vik_market_4_short	rom_PLACEHOLDER	true
vik_market_5					campaign_sho_castle_1_fort		vik_market_long	vik_market	false	vik_market_5_short	rom_PLACEHOLDER	true
vik_market_fair_1					campaign_sho_castle_1_fort		vik_market_long	vik_market_fair	false	vik_market_fair_1_short	rom_PLACEHOLDER	true
