culture	populace_happiness	effect_bundle
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	brt_public_order_4_indifferent
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	brt_public_order_7_jubilant
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	brt_public_order_1_outraged
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	brt_public_order_3_troubled
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	brt_public_order_2_unhappy
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	vmp_public_order_5_content
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	vmp_public_order_6_happy
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	vmp_public_order_4_indifferent
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	vmp_public_order_7_jubilant
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	vmp_public_order_1_outraged
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	vmp_public_order_3_troubled
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	vmp_public_order_2_unhappy
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	dwf_public_order_5_content
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	dwf_public_order_6_happy
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	dwf_public_order_4_indifferent
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	dwf_public_order_7_jubilant
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	dwf_public_order_1_outraged
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	dwf_public_order_3_troubled
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	dwf_public_order_2_unhappy
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	grn_public_order_5_content
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	grn_public_order_6_happy
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	grn_public_order_4_indifferent
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	grn_public_order_7_jubilant
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	grn_public_order_1_outraged
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	grn_public_order_3_troubled
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	grn_public_order_2_unhappy
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	tmb_public_order_5_content
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	tmb_public_order_6_happy
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	tmb_public_order_4_indifferent
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	tmb_public_order_7_jubilant
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	tmb_public_order_1_outraged
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	tmb_public_order_3_troubled
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	tmb_public_order_2_unhappy
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	nor_public_order_5_content
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	nor_public_order_6_happy
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	nor_public_order_4_indifferent
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	nor_public_order_7_jubilant
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	nor_public_order_1_outraged
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	nor_public_order_3_troubled
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	nor_public_order_2_unhappy
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	cst_public_order_5_content
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	cst_public_order_6_happy
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	cst_public_order_4_indifferent
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	cst_public_order_7_jubilant
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	cst_public_order_1_outraged
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	cst_public_order_3_troubled
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	cst_public_order_2_unhappy
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	hef_public_order_5_content
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	hef_public_order_6_happy
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	hef_public_order_4_indifferent
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	hef_public_order_7_jubilant
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	hef_public_order_1_outraged
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	hef_public_order_3_troubled
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	hef_public_order_2_unhappy
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	cth_public_order_1_outraged
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	cth_public_order_2_unhappy
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	cth_public_order_3_troubled
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	cth_public_order_4_indifferent
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	cth_public_order_5_content
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	cth_public_order_6_happy
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	cth_public_order_7_jubilant
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	dae_public_order_1_outraged
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	dae_public_order_2_unhappy
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	dae_public_order_3_troubled
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	dae_public_order_4_indifferent
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	dae_public_order_5_content
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	dae_public_order_6_happy
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	dae_public_order_7_jubilant
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	kho_public_order_1_outraged
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	kho_public_order_2_unhappy
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	kho_public_order_3_troubled
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	kho_public_order_4_indifferent
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	kho_public_order_5_content
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	kho_public_order_6_happy
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	kho_public_order_7_jubilant
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	ksl_public_order_1_outraged
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	ksl_public_order_2_unhappy
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	ksl_public_order_3_troubled
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	ksl_public_order_4_indifferent
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	ksl_public_order_5_content
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	ksl_public_order_6_happy
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	ksl_public_order_7_jubilant
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	nur_public_order_1_outraged
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	nur_public_order_2_unhappy
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	nur_public_order_3_troubled
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	nur_public_order_4_indifferent
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	nur_public_order_5_content
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	nur_public_order_6_happy
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	nur_public_order_7_jubilant
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	ogr_public_order_1_outraged
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	ogr_public_order_2_unhappy
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	ogr_public_order_3_troubled
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	ogr_public_order_4_indifferent
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	ogr_public_order_5_content
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	ogr_public_order_6_happy
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	ogr_public_order_7_jubilant
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	sla_public_order_1_outraged
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	sla_public_order_2_unhappy
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	sla_public_order_3_troubled
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	sla_public_order_4_indifferent
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	sla_public_order_5_content
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	sla_public_order_6_happy
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	sla_public_order_7_jubilant
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	tze_public_order_1_outraged
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	tze_public_order_2_unhappy
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	tze_public_order_3_troubled
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	tze_public_order_4_indifferent
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	tze_public_order_5_content
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	tze_public_order_6_happy
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	tze_public_order_7_jubilant
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	chs_public_order_1_outraged
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	chs_public_order_2_unhappy
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	chs_public_order_3_troubled
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT	chs_public_order_4_indifferent
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT	chs_public_order_5_content
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY	chs_public_order_6_happy
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	chs_public_order_7_jubilant
