key	soldier_model	man_animations_table	type	missile_type	variant
est_sea_king_hero_dyflin	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		est_sea_king_hero_dyflin
wel_helwyr_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		wel_helwyr_officer
vik_officer_jomsviking	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		vik_officer_jomsviking
vik_standard_bearer_jomsviking	target_marker	rome_man_standard_bearer	standard_bearer		vik_standard_bearer_jomsviking
iri_officer_hero	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		iri_officer_hero
iri_standard_bearer_hero	target_marker	rome_man_standard_bearer	standard_bearer		iri_standard_bearer_hero
iri_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		iri_officer_elite
iri_standard_bearer_elite	target_marker	rome_man_standard_bearer	standard_bearer		iri_standard_bearer_elite
iri_officer_hunter	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		iri_officer_hunter
sco_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		sco_officer_elite
sco_standard_bearer_elite	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_elite
sco_officer_hero	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		sco_officer_hero
sco_standard_bearer_hero	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_hero
sco_officer_elite_cav	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		sco_officer_elite_cav
sco_officer_cav	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		sco_officer_cav
sco_standard_bearer_cav	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_cav
sco_standard_bearer_general	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_general
sco_standard_bearer_king	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_king
sco_standard_bearer_general_cav	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_general_cav
sco_standard_bearer_king_cav	target_marker	rome_man_standard_bearer	standard_bearer		sco_standard_bearer_king_cav
saxon_band_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		saxon_band_officer
saxon_band_standard	target_marker	rome_man_standard_bearer	standard_bearer		saxon_band_standard
frankish_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		frankish_officer
frankish_standard	target_marker	rome_man_standard_bearer	standard_bearer		frankish_standard
silver_wolf_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		silver_wolf_officer
silver_wolf_standard	target_marker	rome_man_standard_bearer	standard_bearer		silver_wolf_standard
svearvik_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		svearvik_officer
svearvik_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		svearvik_standard_bearer
viking_merc_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		viking_merc_officer
viking_merc_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		viking_merc_standard_bearer
old_captain_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		old_captain_officer
old_captain_standard	target_marker	rome_man_standard_bearer	standard_bearer		old_captain_standard
sailor_officer	target_marker	rome_man_sword_javelin_precursor_horse	officer		sailor_officer
bandit_officer	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		bandit_officer
bandit_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		bandit_officer_elite
dane_captain	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		dane_captain
dane_captain_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		dane_captain_standard_bearer
nordmenn_captain	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		nordmenn_captain
nordmenn_captain_standard_bearer	target_marker	rome_man_standard_bearer	standard_bearer		nordmenn_captain_standard_bearer
nor_officer_elite	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		nor_officer_elite
nor_standard_bearer_elite	target_marker	rome_man_standard_bearer	standard_bearer		nor_standard_bearer_elite
nor_officer_general	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		nor_officer_general
nor_standard_bearer_general	target_marker	rome_man_standard_bearer	standard_bearer		nor_standard_bearer_general
nor_standard_bearer_great	target_marker	rome_man_standard_bearer	standard_bearer		nor_standard_bearer_great
eng_officer_range	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		eng_officer_range
eng_officer_cav	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		eng_officer_cav
eng_standard_bearer_cav	target_marker	rome_man_standard_bearer	standard_bearer		eng_standard_bearer_cav
eng_officer_lesser_cav	target_marker	rome_man_sword_shield_javelin_precursor_horse	officer		eng_officer_lesser_cav
eng_standard_bearer_lesser_cav	target_marker	rome_man_standard_bearer	standard_bearer		eng_standard_bearer_lesser_cav
eng_north_hero	target_marker	rome_man_spear_shield_javelin_precursor_horse	officer		eng_north_hero
