id	building_superchain	slot_template
4784	vik_thing	vik_reg_corcach_secondary
4785	vik_thrall	vik_reg_corcach_secondary
4786	vik_moot_hill	vik_reg_corcach_secondary
4787	vik_mint	vik_reg_corcach_secondary
4788	vik_market_fair	vik_reg_corcach_secondary
4789	vik_court	vik_reg_corcach_secondary
4790	vik_estate	vik_reg_corcach_secondary
4791	vik_high_cross	vik_reg_corcach_secondary
4792	vik_tools	vik_reg_corcach_secondary
4793	vik_port	vik_reg_casteltoun_port
4794	vik_longphort	vik_reg_casteltoun_primary
4795	vik_arena	vik_reg_casteltoun_secondary
4796	vik_artisans	vik_reg_casteltoun_secondary
4797	vik_bard	vik_reg_casteltoun_secondary
4798	vik_church	vik_reg_casteltoun_secondary
4799	vik_craft_merchant	vik_reg_casteltoun_secondary
4800	vik_forge	vik_reg_casteltoun_secondary
4801	vik_wood	vik_reg_casteltoun_secondary
4802	vik_workshop	vik_reg_casteltoun_secondary
4803	vik_warehouse	vik_reg_casteltoun_secondary
4804	vik_textiles	vik_reg_casteltoun_secondary
4805	vik_thing	vik_reg_casteltoun_secondary
4806	vik_thrall	vik_reg_casteltoun_secondary
4807	vik_moot_hill	vik_reg_casteltoun_secondary
4808	vik_mint	vik_reg_casteltoun_secondary
4809	vik_market_fair	vik_reg_casteltoun_secondary
4810	vik_court	vik_reg_casteltoun_secondary
4811	vik_estate	vik_reg_casteltoun_secondary
4812	vik_high_cross	vik_reg_casteltoun_secondary
4813	vik_tools	vik_reg_casteltoun_secondary
4688	vik_port	vik_reg_dyflin_port
4689	vik_longphort	vik_reg_dyflin_primary
4690	vik_arena	vik_reg_dyflin_secondary
4691	vik_artisans	vik_reg_dyflin_secondary
4692	vik_bard	vik_reg_dyflin_secondary
4693	vik_church	vik_reg_dyflin_secondary
4694	vik_craft_merchant	vik_reg_dyflin_secondary
4695	vik_forge	vik_reg_dyflin_secondary
4696	vik_wood	vik_reg_dyflin_secondary
4697	vik_workshop	vik_reg_dyflin_secondary
4698	vik_warehouse	vik_reg_dyflin_secondary
4699	vik_textiles	vik_reg_dyflin_secondary
4700	vik_thing	vik_reg_dyflin_secondary
4701	vik_thrall	vik_reg_dyflin_secondary
4702	vik_moot_hill	vik_reg_dyflin_secondary
4703	vik_mint	vik_reg_dyflin_secondary
4704	vik_market_fair	vik_reg_dyflin_secondary
4705	vik_court	vik_reg_dyflin_secondary
4706	vik_estate	vik_reg_dyflin_secondary
4707	vik_high_cross	vik_reg_dyflin_secondary
4708	vik_tools	vik_reg_dyflin_secondary
