bonus_value_id	effect	unit_set
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_thralls_increase	thralls
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_thralls_rate	thralls
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_axes_except_heroes_increase	axe_units_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_axes_except_heroes_rate	axe_units_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_ranged_except_heroes_increase	infantry_units_missile
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_ranged_except_heroes_rate	infantry_units_missile
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_spears_except_heroes_increase	spear_units_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_spears_except_heroes_rate	spear_units_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_swords_except_heroes_increase	sword_units_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_swords_except_heroes_rate	sword_units_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_cavalry_except_heroes_increase	cavalry_units_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_cavalry_except_heroes_rate	cavalry_units_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_foreign_warriors_except_berserkers_increase	mercenaries_except_heroes
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_foreign_warriors_except_berserkers_rate	mercenaries_except_heroes
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_all_peasants_except_siege_and_dogs_increase	peasants_except_siege_and_dogs
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_all_peasants_except_siege_and_dogs_rate	peasants_except_siege_and_dogs
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_dogs_increase	dogs
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_dogs_rate	dogs
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_siege_increase	siege_units
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_siege_rate	siege_units
unit_mercenary_unit_set_pool_cap_replenishment_mod	sw_pools_hunters_increase	hunters
unit_mercenary_unit_set_pool_replenishment_mod	sw_pools_hunters_rate	hunters
