bonus_value_id	effect	unit_set
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_pool_replenishment_mod_negative	all_units
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_pool_replenishment_mod	all_units
cost_mod	vik_unit_recruitment_cost_land	all_units
replenishment_percentage_bonus_multiply	vik_unit_replenishment_archer	infantry_units_missile
replenishment_percentage_bonus_multiply	vik_unit_replenishment_cavalry	cavalry_units
replenishment_percentage_bonus_multiply	vik_unit_replenishment_elite	heroes
replenishment_percentage_bonus_multiply	vik_unit_replenishment_levy	peasants
replenishment_percentage_bonus_multiply	vik_unit_replenishment_melee	infantry_units_melee
replenishment_percentage_bonus_multiply	vik_unit_replenishment_retinue	nobles
replenishment_percentage_bonus_multiply	vik_unit_replenishment_spear	infantry_units_spears
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_retinue_cavalry_pool_replenishment_mod	vik_retinue_cavalry
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_retinue_pool_replenishment_mod	nobles
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_retinue_swords_pool_replenishment_mod	vik_infantry_unit_swords_retinue
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_seaxe_pool_replenishment_mod	vik_seaxe_infantry
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_skirmishers_pool_replenishment_mod	vik_skirmishers
melee_attack_mod	vik_unit_spear_melee_attack	infantry_units_spears
melee_damage_mod	vik_unit_spear_melee_damage	infantry_units_spears
melee_defence_mod	vik_unit_spear_melee_defence	infantry_units_spears
melee_attack_mod	vik_unit_spear_melee_skill	infantry_units_spears
melee_defence_mod	vik_unit_spear_melee_skill	infantry_units_spears
unit_mercenary_unit_set_pool_cap_replenishment_mod	vik_unit_spear_pool_cap_mod	infantry_units_spears
unit_mercenary_unit_set_pool_replenishment_mod	vik_unit_spear_pool_replenishment_mod	infantry_units_spears
cost_mod	vik_unit_spear_recruitment_cost	infantry_units_spears
upkeep_mod	vik_unit_spear_upkeep_cost	infantry_units_spears
melee_defence_mod	vik_unit_sword_melee_defence	infantry_units_swords
melee_attack_mod	vik_unit_sword_melee_skill	infantry_units_swords
melee_defence_mod	vik_unit_sword_melee_skill	infantry_units_swords
accuracy_mod	vik_units_accuracy_mod	missile_units
upkeep_mod	vik_upkeep_costs_mercenary	all_units
upkeep_mod	vik_upkeep_costs_non_mercenary	all_units
upkeep_mod	shieldwall_taeog_upkeepand_recruitment_cost	taeog
cost_mod	shieldwall_taeog_upkeepand_recruitment_cost	taeog
charge_bonus	shieldwall_cavalry_charge_bonus	cavalry_units
