agent_record	attribute_level	attribute_record	culture_record	effect_record	effect_scope	faction_record	subculture_record	campaign_record	effect_value
general	9	zeal		vik_campaign_movement	general_to_force_own				15.0
general	10	zeal		vik_campaign_movement	general_to_force_own				20.0
general	6	zeal		sw_reduced_inspire_cooldown	general_to_force_own				-10.0
general	7	zeal		sw_reduced_inspire_cooldown	general_to_force_own				-10.0
general	8	zeal		sw_reduced_inspire_cooldown	general_to_force_own				-15.0
general	9	zeal		sw_reduced_inspire_cooldown	general_to_force_own				-15.0
general	10	zeal		sw_reduced_inspire_cooldown	general_to_force_own				-15.0
general	10	subterfuge		vik_unit_food_upkeep_reduction	general_to_force_own				-1.0
general	1	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				30.0
general	2	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				40.0
general	3	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				50.0
general	4	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				60.0
general	5	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				70.0
general	6	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				80.0
general	7	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				90.0
general	8	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				100.0
general	9	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				125.0
general	10	subterfuge		vik_food_production_mod	general_to_region_own_provincewide_when_governor				150.0
general	1	subterfuge		vik_supplies_add_own_territory	general_to_force_own				2.0
general	2	subterfuge		vik_supplies_add_own_territory	general_to_force_own				2.0
general	3	subterfuge		vik_supplies_add_own_territory	general_to_force_own				3.0
general	4	subterfuge		vik_supplies_add_own_territory	general_to_force_own				3.0
general	5	subterfuge		vik_supplies_add_own_territory	general_to_force_own				4.0
general	6	subterfuge		vik_supplies_add_own_territory	general_to_force_own				4.0
general	7	subterfuge		vik_supplies_add_own_territory	general_to_force_own				5.0
general	8	subterfuge		vik_supplies_add_own_territory	general_to_force_own				5.0
general	9	subterfuge		vik_supplies_add_own_territory	general_to_force_own				6.0
general	10	subterfuge		vik_supplies_add_own_territory	general_to_force_own				6.0
