id	mission_key	option_key	value
33042	sw_heroism_vik_fact_heimiliborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_heimiliborg
33043	sw_heroism_vik_fact_hellirborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_hellirborg
33044	sw_heroism_vik_fact_hlymrekr	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_hlymrekr
33045	sw_heroism_vik_fact_holdrness	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_holdrness
33046	sw_heroism_vik_fact_hwicce	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_hwicce
33047	sw_heroism_vik_fact_hylrborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_hylrborg
33048	sw_heroism_vik_fact_iarmuma	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_iarmuma
33049	sw_heroism_vik_fact_laigin	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_laigin
33050	sw_heroism_vik_fact_ledeborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_ledeborg
33051	sw_heroism_vik_fact_mide	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_mide
33052	sw_heroism_vik_fact_mierce	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_mierce
33053	sw_heroism_vik_fact_myrrborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_myrrborg
33054	sw_heroism_vik_fact_nordmann	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_nordmann
33055	sw_heroism_vik_fact_normaunds	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_normaunds
33056	sw_heroism_vik_fact_norse	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_norse
33057	sw_heroism_vik_fact_northleode	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_northleode
33058	sw_heroism_vik_fact_northymbre	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_northymbre
33059	sw_heroism_vik_fact_orkneyar	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_orkneyar
33060	sw_heroism_vik_fact_osraige	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_osraige
33061	sw_heroism_vik_fact_powis	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_powis
33062	sw_heroism_vik_fact_seisilwig	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_seisilwig
33063	sw_heroism_vik_fact_steinnborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_steinnborg
33064	sw_heroism_vik_fact_strat_clut	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_strat_clut
33065	sw_heroism_vik_fact_sudreyar	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_sudreyar
33066	sw_heroism_vik_fact_suth_seaxe	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_suth_seaxe
33067	sw_heroism_vik_fact_tuadmuma	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_tuadmuma
33068	sw_heroism_vik_fact_ulaid	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_ulaid
33069	sw_heroism_vik_fact_vedrafjordr	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_vedrafjordr
33070	sw_heroism_vik_fact_veidrborg	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_veidrborg
33071	sw_heroism_vik_fact_veisafjordr	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_veisafjordr
33072	sw_heroism_vik_fact_west_seaxe	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_west_seaxe
33073	sw_heroism_vik_fact_westernas	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_westernas
33074	sw_heroism_vik_fact_westmoringas	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_westmoringas
33075	sw_heroism_vik_fact_wicing	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_wicing
33076	sw_heroism_vik_fact_aileach	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_aileach
33077	sw_heroism_vik_fact_airer_goidel	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_airer_goidel
33078	sw_heroism_vik_fact_airgialla	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_airgialla
33079	sw_heroism_vik_fact_athfochla	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_athfochla
33080	sw_heroism_vik_fact_bedeborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_bedeborg
33081	sw_heroism_vik_fact_brechinauc	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_brechinauc
33082	sw_heroism_vik_fact_brega	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_brega
33083	sw_heroism_vik_fact_breifne	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_breifne
33084	sw_heroism_vik_fact_caisil	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_caisil
33085	sw_heroism_vik_fact_cent	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_cent
33086	sw_heroism_vik_fact_cerneu	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_cerneu
33087	sw_heroism_vik_fact_circenn	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_circenn
33088	sw_heroism_vik_fact_connacht	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_connacht
33089	sw_heroism_vik_fact_defena	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_defena
33090	sw_heroism_vik_fact_dene	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_dene
33091	sw_heroism_vik_fact_desmuma	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_desmuma
33092	sw_heroism_vik_fact_djurby	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_djurby
33093	sw_heroism_vik_fact_dorsaete	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_dorsaete
33094	sw_heroism_vik_fact_dubgaill	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_dubgaill
33095	sw_heroism_vik_fact_dyfet	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_dyfet
33096	sw_heroism_vik_fact_dyflin	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_dyflin
33097	sw_heroism_vik_fact_east_engle	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_east_engle
33098	sw_heroism_vik_fact_east_seaxe	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_east_seaxe
33099	sw_heroism_vik_fact_finngaill	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_finngaill
33100	sw_heroism_vik_fact_fortriu	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_fortriu
33101	sw_heroism_vik_fact_gallgoidel	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_gallgoidel
33102	sw_heroism_vik_fact_gliwissig	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_gliwissig
33103	sw_heroism_vik_fact_grantebru	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_grantebru
33104	sw_heroism_vik_fact_gwent	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_gwent
33105	sw_heroism_vik_fact_gwined	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_gwined
33106	sw_heroism_vik_fact_haeden	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_haeden
33107	sw_heroism_vik_fact_heimiliborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_heimiliborg
33108	sw_heroism_vik_fact_hellirborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_hellirborg
33109	sw_heroism_vik_fact_hlymrekr	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_hlymrekr
33110	sw_heroism_vik_fact_holdrness	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_holdrness
33111	sw_heroism_vik_fact_hwicce	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_hwicce
33112	sw_heroism_vik_fact_hylrborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_hylrborg
33113	sw_heroism_vik_fact_iarmuma	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_iarmuma
33114	sw_heroism_vik_fact_laigin	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_laigin
33115	sw_heroism_vik_fact_ledeborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_ledeborg
33116	sw_heroism_vik_fact_mide	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_mide
33117	sw_heroism_vik_fact_mierce	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_mierce
33118	sw_heroism_vik_fact_myrrborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_myrrborg
33119	sw_heroism_vik_fact_nordmann	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_nordmann
33120	sw_heroism_vik_fact_normaunds	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_normaunds
33121	sw_heroism_vik_fact_norse	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_norse
33122	sw_heroism_vik_fact_northleode	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_northleode
33123	sw_heroism_vik_fact_northymbre	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_northymbre
33124	sw_heroism_vik_fact_orkneyar	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_orkneyar
33125	sw_heroism_vik_fact_osraige	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_osraige
33126	sw_heroism_vik_fact_powis	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_powis
33127	sw_heroism_vik_fact_seisilwig	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_seisilwig
33128	sw_heroism_vik_fact_steinnborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_steinnborg
33129	sw_heroism_vik_fact_strat_clut	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_strat_clut
33130	sw_heroism_vik_fact_sudreyar	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_sudreyar
33131	sw_heroism_vik_fact_suth_seaxe	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_suth_seaxe
33132	sw_heroism_vik_fact_tuadmuma	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_tuadmuma
33133	sw_heroism_vik_fact_ulaid	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_ulaid
33134	sw_heroism_vik_fact_vedrafjordr	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_vedrafjordr
33135	sw_heroism_vik_fact_veidrborg	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_veidrborg
33136	sw_heroism_vik_fact_veisafjordr	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_veisafjordr
33137	sw_heroism_vik_fact_west_seaxe	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_west_seaxe
33138	sw_heroism_vik_fact_westernas	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_westernas
33139	sw_heroism_vik_fact_westmoringas	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_westmoringas
33140	sw_heroism_vik_fact_wicing	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_vik_fact_wicing
33141	sw_heroism_region_vik_reg_aberffro	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_aberffro
33142	sw_heroism_region_vik_reg_aberteifi	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_aberteifi
33143	sw_heroism_region_vik_reg_cair_gwent	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_cair_gwent
33144	sw_heroism_region_vik_reg_dinefwr	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_dinefwr
33145	sw_heroism_region_vik_reg_guvan	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_guvan
33146	sw_heroism_region_vik_reg_mathrafal	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_heroism_region_vik_reg_mathrafal
33147	sw_heroism_region_vik_reg_aberffro	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_aberffro
33148	sw_heroism_region_vik_reg_aberteifi	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_aberteifi
33149	sw_heroism_region_vik_reg_cair_gwent	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_cair_gwent
33150	sw_heroism_region_vik_reg_dinefwr	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_dinefwr
33151	sw_heroism_region_vik_reg_guvan	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_guvan
33152	sw_heroism_region_vik_reg_mathrafal	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_mathrafal
33153	sw_heroism_vik_fact_aileach	VAR_CHANCE	100
33154	sw_heroism_vik_fact_airer_goidel	VAR_CHANCE	100
33155	sw_heroism_vik_fact_airgialla	VAR_CHANCE	100
33156	sw_heroism_vik_fact_athfochla	VAR_CHANCE	100
33157	sw_heroism_vik_fact_bedeborg	VAR_CHANCE	100
33158	sw_heroism_vik_fact_brechinauc	VAR_CHANCE	100
33159	sw_heroism_vik_fact_brega	VAR_CHANCE	100
33160	sw_heroism_vik_fact_breifne	VAR_CHANCE	100
33161	sw_heroism_vik_fact_caisil	VAR_CHANCE	100
33162	sw_heroism_vik_fact_cent	VAR_CHANCE	100
33163	sw_heroism_vik_fact_cerneu	VAR_CHANCE	100
33164	sw_heroism_vik_fact_circenn	VAR_CHANCE	100
33165	sw_heroism_vik_fact_connacht	VAR_CHANCE	100
33166	sw_heroism_vik_fact_defena	VAR_CHANCE	100
33167	sw_heroism_vik_fact_dene	VAR_CHANCE	100
33168	sw_heroism_vik_fact_desmuma	VAR_CHANCE	100
33169	sw_heroism_vik_fact_djurby	VAR_CHANCE	100
33170	sw_heroism_vik_fact_dorsaete	VAR_CHANCE	100
33171	sw_heroism_vik_fact_dubgaill	VAR_CHANCE	100
33172	sw_heroism_vik_fact_dyfet	VAR_CHANCE	100
33173	sw_heroism_vik_fact_dyflin	VAR_CHANCE	100
33174	sw_heroism_vik_fact_east_engle	VAR_CHANCE	100
33175	sw_heroism_vik_fact_east_seaxe	VAR_CHANCE	100
33176	sw_heroism_vik_fact_finngaill	VAR_CHANCE	100
33177	sw_heroism_vik_fact_fortriu	VAR_CHANCE	100
33178	sw_heroism_vik_fact_gallgoidel	VAR_CHANCE	100
33179	sw_heroism_vik_fact_gliwissig	VAR_CHANCE	100
33180	sw_heroism_vik_fact_grantebru	VAR_CHANCE	100
33181	sw_heroism_vik_fact_gwent	VAR_CHANCE	100
33182	sw_heroism_vik_fact_gwined	VAR_CHANCE	100
33183	sw_heroism_vik_fact_haeden	VAR_CHANCE	100
33184	sw_heroism_vik_fact_heimiliborg	VAR_CHANCE	100
33185	sw_heroism_vik_fact_hellirborg	VAR_CHANCE	100
33186	sw_heroism_vik_fact_hlymrekr	VAR_CHANCE	100
33187	sw_heroism_vik_fact_holdrness	VAR_CHANCE	100
33188	sw_heroism_vik_fact_hwicce	VAR_CHANCE	100
33189	sw_heroism_vik_fact_hylrborg	VAR_CHANCE	100
33190	sw_heroism_vik_fact_iarmuma	VAR_CHANCE	100
33191	sw_heroism_vik_fact_laigin	VAR_CHANCE	100
33192	sw_heroism_vik_fact_ledeborg	VAR_CHANCE	100
33193	sw_heroism_vik_fact_mide	VAR_CHANCE	100
33194	sw_heroism_vik_fact_mierce	VAR_CHANCE	100
33195	sw_heroism_vik_fact_myrrborg	VAR_CHANCE	100
33196	sw_heroism_vik_fact_nordmann	VAR_CHANCE	100
33197	sw_heroism_vik_fact_normaunds	VAR_CHANCE	100
33198	sw_heroism_vik_fact_norse	VAR_CHANCE	100
33199	sw_heroism_vik_fact_northleode	VAR_CHANCE	100
33200	sw_heroism_vik_fact_northymbre	VAR_CHANCE	100
33201	sw_heroism_vik_fact_orkneyar	VAR_CHANCE	100
33202	sw_heroism_vik_fact_osraige	VAR_CHANCE	100
33203	sw_heroism_vik_fact_powis	VAR_CHANCE	100
33204	sw_heroism_vik_fact_seisilwig	VAR_CHANCE	100
33205	sw_heroism_vik_fact_steinnborg	VAR_CHANCE	100
33206	sw_heroism_vik_fact_strat_clut	VAR_CHANCE	100
33207	sw_heroism_vik_fact_sudreyar	VAR_CHANCE	100
33208	sw_heroism_vik_fact_suth_seaxe	VAR_CHANCE	100
33209	sw_heroism_vik_fact_tuadmuma	VAR_CHANCE	100
33210	sw_heroism_vik_fact_ulaid	VAR_CHANCE	100
33211	sw_heroism_vik_fact_vedrafjordr	VAR_CHANCE	100
33212	sw_heroism_vik_fact_veidrborg	VAR_CHANCE	100
33213	sw_heroism_vik_fact_veisafjordr	VAR_CHANCE	100
33214	sw_heroism_vik_fact_west_seaxe	VAR_CHANCE	100
33215	sw_heroism_vik_fact_westernas	VAR_CHANCE	100
33216	sw_heroism_vik_fact_westmoringas	VAR_CHANCE	100
33217	sw_heroism_vik_fact_wicing	VAR_CHANCE	100
33218	sw_heroism_vik_fact_aileach	VAR_MISSION_LENGTH_MIN	
33219	sw_heroism_vik_fact_airer_goidel	VAR_MISSION_LENGTH_MIN	
33220	sw_heroism_vik_fact_airgialla	VAR_MISSION_LENGTH_MIN	
33221	sw_heroism_vik_fact_athfochla	VAR_MISSION_LENGTH_MIN	
33222	sw_heroism_vik_fact_bedeborg	VAR_MISSION_LENGTH_MIN	
33223	sw_heroism_vik_fact_brechinauc	VAR_MISSION_LENGTH_MIN	
33224	sw_heroism_vik_fact_brega	VAR_MISSION_LENGTH_MIN	
33225	sw_heroism_vik_fact_breifne	VAR_MISSION_LENGTH_MIN	
33226	sw_heroism_vik_fact_caisil	VAR_MISSION_LENGTH_MIN	
33227	sw_heroism_vik_fact_cent	VAR_MISSION_LENGTH_MIN	
33228	sw_heroism_vik_fact_cerneu	VAR_MISSION_LENGTH_MIN	
33229	sw_heroism_vik_fact_circenn	VAR_MISSION_LENGTH_MIN	
33230	sw_heroism_vik_fact_connacht	VAR_MISSION_LENGTH_MIN	
33231	sw_heroism_vik_fact_defena	VAR_MISSION_LENGTH_MIN	
33232	sw_heroism_vik_fact_dene	VAR_MISSION_LENGTH_MIN	
33233	sw_heroism_vik_fact_desmuma	VAR_MISSION_LENGTH_MIN	
33234	sw_heroism_vik_fact_djurby	VAR_MISSION_LENGTH_MIN	
33235	sw_heroism_vik_fact_dorsaete	VAR_MISSION_LENGTH_MIN	
33236	sw_heroism_vik_fact_dubgaill	VAR_MISSION_LENGTH_MIN	
33237	sw_heroism_vik_fact_dyfet	VAR_MISSION_LENGTH_MIN	
33238	sw_heroism_vik_fact_dyflin	VAR_MISSION_LENGTH_MIN	
33239	sw_heroism_vik_fact_east_engle	VAR_MISSION_LENGTH_MIN	
33240	sw_heroism_vik_fact_east_seaxe	VAR_MISSION_LENGTH_MIN	
33241	sw_heroism_vik_fact_finngaill	VAR_MISSION_LENGTH_MIN	
33242	sw_heroism_vik_fact_fortriu	VAR_MISSION_LENGTH_MIN	
33243	sw_heroism_vik_fact_gallgoidel	VAR_MISSION_LENGTH_MIN	
33244	sw_heroism_vik_fact_gliwissig	VAR_MISSION_LENGTH_MIN	
33245	sw_heroism_vik_fact_grantebru	VAR_MISSION_LENGTH_MIN	
33246	sw_heroism_vik_fact_gwent	VAR_MISSION_LENGTH_MIN	
33247	sw_heroism_vik_fact_gwined	VAR_MISSION_LENGTH_MIN	
33248	sw_heroism_vik_fact_haeden	VAR_MISSION_LENGTH_MIN	
33249	sw_heroism_vik_fact_heimiliborg	VAR_MISSION_LENGTH_MIN	
