key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
shield_irish_dogs	fauna_dog	1.85	8.35	6.0	6.0	9.0	1.3	40.0	30.0	30.0	0.9	ellipse	0.35	40.0	1.0	90.0	90.0	80.0	4	true	true	1.45	0.0	0.0
shield_other_dogs	fauna_dog	1.85	8.35	6.0	6.0	9.0	1.3	40.0	30.0	30.0	0.9	ellipse	0.35	40.0	1.0	90.0	90.0	80.0	4	true	true	1.45	0.0	0.0
shield_irish_horse_light	horse	2.35	8.85	6.5	5.0	9.0	1.0	50.0	40.0	30.0	1.2	ellipse	0.325	515.0	1.8	150.0	150.0	120.0	18	true	true	1.45	1.0	0.0
shield_irish_horse_medium	horse	2.05	8.35	5.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	27	true	true	1.45	1.0	0.0
shield_horse_light	horse	2.05	8.35	5.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	18	true	true	1.45	1.0	0.0
shield_horse_medium	horse	1.85	6.85	4.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	25	true	true	1.45	1.0	0.0
shield_horse_continental_medium	horse	1.55	6.85	4.0	5.0	10.0	0.8	60.0	40.0	30.0	1.2	ellipse	0.325	1215.0	1.8	150.0	150.0	120.0	27	true	true	1.45	1.0	0.0
shield_horse_continental_champion	horse	1.55	6.85	4.0	5.0	10.0	0.8	65.0	40.0	30.0	1.2	ellipse	0.325	1415.0	1.8	150.0	150.0	120.0	32	true	true	1.45	1.0	0.0
shield_horse_welsh_uchelwr	horse	2.05	8.35	5.5	5.0	11.0	0.9	70.0	40.0	30.0	1.2	ellipse	0.325	800.0	1.8	150.0	150.0	120.0	30	true	true	1.45	1.0	0.0
shield_horse_welsh_combrogi	horse	2.05	6.85	4.5	5.0	9.0	0.9	70.0	40.0	30.0	1.2	ellipse	0.325	700.0	1.8	150.0	150.0	120.0	22	true	true	1.45	1.0	0.0
shield_horse_welsh_champion	horse	1.75	6.85	4.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	1000.0	1.8	150.0	150.0	120.0	45	true	true	1.45	1.0	0.0
shield_irish_peasant_ranged	man	1.4	2.85	3.0	5.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	120.0	14	true	true	1.4	0.0	0.0
shield_peasant_ranged	man	1.25	2.85	3.0	5.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	70.0	1.7	150.0	150.0	120.0	15	true	true	1.4	0.0	0.0
shield_irish_peasant_line	man	1.4	2.3	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	135.0	1.7	150.0	150.0	120.0	14	true	true	1.5	0.0	0.0
shield_peasant_line	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	135.0	1.7	150.0	150.0	120.0	15	true	true	1.5	0.0	0.0
shield_irish_peasant_heavy	man	1.4	2.3	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	235.0	1.7	150.0	150.0	120.0	16	true	true	1.4	0.0	0.0
shield_peasant_heavy	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	235.0	1.7	150.0	150.0	120.0	17	true	true	1.4	0.0	0.0
shield_irish_warrior_ranged	man	1.4	2.85	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	115.0	1.7	150.0	150.0	120.0	20	true	true	1.4	0.0	0.0
shield_warrior_ranged	man	1.25	2.85	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	115.0	1.7	150.0	150.0	120.0	20	true	true	1.4	0.0	0.0
shield_irish_warrior_line	man	1.4	2.3	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	185.0	1.7	150.0	150.0	120.0	20	true	true	1.55	0.0	0.0
shield_warrior_line	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	185.0	1.7	150.0	150.0	120.0	20	true	true	1.55	0.0	0.0
shield_irish_warrior_heavy	man	1.4	2.3	2.5	4.0	3.7	0.5	18.0	22.0	30.0	0.4	circle	1.0	305.0	1.7	150.0	150.0	120.0	20	true	true	1.4	0.0	0.0
shield_warrior_heavy	man	1.25	2.0	2.5	4.0	3.7	0.5	18.0	22.0	30.0	0.4	circle	1.0	305.0	1.7	150.0	150.0	120.0	20	true	true	1.4	0.0	0.0
shield_champion_melee	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	32	true	true	1.5	0.0	0.0
shield_champion_ranged	man	1.25	2.85	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	115.0	1.7	150.0	150.0	120.0	28	true	true	1.4	0.0	0.0
shield_champion_tiny_unit	man	1.25	2.0	2.5	4.0	4.0	0.5	15.0	17.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	45	true	true	1.5	0.0	0.0
shield_champion_tanky	man	1.25	2.0	2.5	4.0	3.7	0.5	18.0	22.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	40	true	true	1.55	0.0	0.0
shield_nobleman_line	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	215.0	1.7	150.0	150.0	120.0	25	true	true	1.55	0.0	0.0
shield_nobleman_ultra_heavy	man	1.25	2.0	2.5	4.0	4.0	0.5	18.0	22.0	30.0	0.4	circle	1.0	325.0	1.7	150.0	150.0	120.0	29	true	true	1.4	0.0	0.0
shield_mounted_general	horse	1.25	6.85	5.5	5.0	8.0	0.9	45.0	40.0	30.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	32	true	true	1.45	1.0	0.0
shield_infantry_general	man	1.25	2.0	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	215.0	1.7	150.0	150.0	120.0	30	true	true	1.5	0.0	0.0
shield_ultraheavy_general	man	1.25	2.0	2.5	4.0	4.0	0.5	18.0	22.0	30.0	0.4	circle	1.0	325.0	1.7	150.0	150.0	120.0	36	true	true	1.4	0.0	0.0
shield_horse_north_saxon	horse	2.05	6.85	4.5	5.0	9.0	0.9	50.0	40.0	30.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	36	true	true	1.45	1.0	0.0
shield_dane_warrior	man	1.25	2.0	2.5	4.0	3.7	0.5	18.0	22.0	30.0	0.4	circle	1.0	305.0	1.7	150.0	150.0	120.0	24	true	true	1.4	0.0	0.0
shield_champion_wolfskin	man	1.25	2.85	2.5	4.0	3.7	0.5	15.0	17.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	32	true	true	1.5	0.0	0.0
