key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
sw_iri_peasant_melee	man	1.4	2.4	3.0	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	135.0	1.7	150.0	150.0	120.0	24	true	true	1.5	0.0	0.0
sw_dan_veteran_melee	man	1.3	2.2	2.5	4.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	235.0	1.7	150.0	150.0	120.0	32	true	true	1.55	0.0	0.0
sw_iri_noble_melee	man	1.4	2.4	3.0	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	215.0	1.7	150.0	150.0	120.0	36	true	true	1.6	0.0	0.0
sw_iri_general	man	1.4	2.4	3.0	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	265.0	1.7	150.0	150.0	120.0	40	true	true	1.5	0.0	0.0
sw_iri_veteran_melee	man	1.4	2.4	3.0	5.0	3.5	0.5	30.0	30.0	30.0	0.4	circle	1.0	185.0	1.7	150.0	150.0	120.0	30	true	true	1.55	0.0	0.0
sw_scout	horse	2.0	7.5	5.0	3.0	8.25	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	30	true	true	1.45	1.0	0.0
sw_horse_medium	horse	2.0	6.5	5.0	3.0	8.25	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	36	true	true	1.45	1.0	0.0
sw_dragoon	horse	2.0	6.5	5.0	3.0	8.25	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	28	true	true	1.45	1.0	0.0
sw_mounted_general	horse	2.0	6.5	5.0	3.0	8.25	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	40	true	true	1.45	1.0	0.0
sw_wel_elite_general	horse	2.0	6.75	5.0	3.5	9.0	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	48	true	true	1.45	1.0	0.0
sw_wel_mounted_general	horse	2.0	6.75	5.0	3.5	9.0	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	40	true	true	1.45	1.0	0.0
sw_wel_horse_medium	horse	2.0	6.75	5.0	3.5	9.0	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	36	true	true	1.45	1.0	0.0
sw_wel_comites	horse	2.0	7.0	5.0	3.5	10.0	0.9	60.0	45.0	45.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	36	true	true	1.45	1.0	0.0
sw_wel_horse_light	horse	2.0	7.0	5.0	3.5	9.0	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	765.0	1.8	150.0	150.0	120.0	24	true	true	1.45	1.0	0.0
sw_wel_scout	horse	2.0	7.75	5.0	3.5	9.0	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	640.0	1.8	150.0	150.0	120.0	30	true	true	1.45	1.0	0.0
sw_wel_penteulu	horse	2.0	6.5	5.0	3.0	8.25	0.9	50.0	40.0	40.0	1.2	ellipse	0.325	890.0	1.8	150.0	150.0	120.0	48	true	true	1.45	1.0	0.0
