variable_key	value
autoresolver_chase_down_damage_multiplier	1.0
autoresolver_max_hp_for_enemy_hp_dps_modifier	2000.0
autoresolver_min_battle_time_before_retreat	45.0
autoresolver_min_hp_for_enemy_hp_dps_modifier	600.0
autoresolver_num_excess_melee_units_receiving_casualties_from_target	4.0
autoresolver_num_units_multiplier_vs_enemy_to_allow_retreat	0.75
autoresolver_unit_base_retreat_threshold	0.2
autoresolver_unit_wipe_out_threshold	0.1
autoresolver_wall_damage_num_artillery_units_percentage	0.01
autoresolver_winner_additional_building_damage_num_assult_equipment_percentage	0.0
autoresolver_winner_additional_building_damage_num_units_percentage	0.2
autoresolver_winner_kpd_major_win_threshold	3.0
autoresolver_winner_kpd_minor_win_threshold	0.3
autoresolver_wipe_out_army_force_unary_lost	0.92
background_resource_supply	20000.0
base_unit_food_upkeep_value	10.0
base_wealth_increase	1000.0
baseline_pop_growth	0.3
battle_combat_outcome_prediction_non_artillery_missile_accuracy	0.25
besieged_attrition_force_size_threshold	0.0
besieging_attrition_force_size_threshold	1000.0
blockaded_attrition_force_size_threshold	0.0
blockading_attrition_force_size_threshold	1000.0
bonus_start_of_campaign_income_for_humans_on_easy_difficulty	1000.0
bonus_start_of_campaign_income_for_humans_on_normal_difficulty	500.0
brige_battle_detection_path_distance	3.0
building_cultural_conversion_cost_mod	1.0
building_cultural_conversion_time_mod	1.0
building_min_conversion_cost	200.0
building_slum_creation_time	500000.0
building_slum_dismantle_cost	500.0
camera_far_z	500.0
camera_fov	1.4
camera_maximum_distance	23.0
camera_maximum_tilt_angle	1.15
camera_minimum_distance	7.0
camera_minimum_tilt_angle	0.75
camera_mousewheel_step_val	150.0
camera_near_z	1.0
camera_tactical_transition_duration	0.5
captured_required_region_prestige_multiplier	1.0
captured_units_prize_money_percent	10.0
captured_units_slaves_percent	10.0
cdir_unit_quality_accuracy_value	100.0
cdir_unit_quality_armour_value	100.0
cdir_unit_quality_charge_value	100.0
cdir_unit_quality_experience_value	50.0
cdir_unit_quality_morale_value	100.0
cdir_unit_quality_weapons_value	100.0
character_creation_max_age	40.0
character_creation_min_age	19.0
character_estate_unmet_desire_loyalty_mod	-1.0
character_estates_low_difference	100.0
character_estates_low_loyalty_mod	-3.0
character_estates_none_influence_mod	0.0
character_loyalty_created_max	4.0
character_loyalty_created_min	3.0
character_made_governor_gravitas_mod	0.0
character_made_governor_loyalty_mod	0.0
character_political_influence_max	10.0
character_political_influence_min	0.0
character_recruitment_base_cost	300.0
character_recruitment_cost_per_command_star	5.0
character_recruitment_max_distance	1000.0
character_recruitment_political_influence_max	5.0
character_recruitment_pool_cap	3.0
character_recruitment_pool_refill_rate_admiral_0	4.0
character_recruitment_pool_refill_rate_admiral_1	3.0
character_recruitment_pool_refill_rate_admiral_2	2.0
character_recruitment_pool_refill_rate_general_0	4.0
character_recruitment_pool_refill_rate_general_1	3.0
character_recruitment_pool_refill_rate_general_2	2.0
character_research_points_cap	12.0
character_strip_governor_loyalty_mod	0.0
civil_war_always_trigger_fame_level	7.0
civil_war_faction_starting_treasury_mod	10.0
civil_war_gravitas_threshold_multiplier	1.0
civil_war_high_chance_fame_level	6.0
civil_war_minimum_fame_level_required	5.0
civil_war_turns_between_civil_war_warnings	5.0
custom_battle_authority_cost	50.0
custom_battle_zeal_cost	80.0
date_ab_urbe_condita	753.0
desertion_morale_penalty_attrition_threshold	3.0
desertion_morale_penalty_max	5.0
desertion_morale_penalty_per_turn	1.0
destruction_zone_recovery_turns	5.0
diplomacy_can_offer_break_client_state	1.0
diplomacy_can_offer_break_defensive_alliance	1.0
diplomacy_can_offer_break_military_alliance	1.0
diplomacy_can_offer_break_non_aggression_pact	1.0
diplomacy_can_offer_break_soft_military_access	1.0
diplomacy_can_offer_break_trade	1.0
diplomacy_can_offer_break_vassal	1.0
diplomacy_client_states_must_be_invited_into_defensive_wars	0.0
diplomacy_defensive_allies_must_be_invited_into_defensive_wars	0.0
diplomacy_major_factions_required_for_alliance_broken_notification	0.0
diplomacy_major_factions_required_for_alliance_notification	0.0
diplomacy_major_factions_required_for_became_client_state_notification	0.0
diplomacy_major_factions_required_for_became_vassal_notification	0.0
diplomacy_major_factions_required_for_client_state_rejected_protector_notification	0.0
diplomacy_major_factions_required_for_join_war_notification	0.0
diplomacy_major_factions_required_for_liberation_notification	0.0
diplomacy_major_factions_required_for_master_liberated_vassal_notification	0.0
diplomacy_major_factions_required_for_peace_notification	0.0
diplomacy_major_factions_required_for_protector_canceled_client_state_notification	0.0
diplomacy_major_factions_required_for_satrapy_declares_war_on_master_notification	0.0
diplomacy_masters_must_be_invited_into_defensive_wars	1.0
diplomacy_masters_must_be_invited_into_offensive_wars	1.0
diplomacy_maximum_client_or_vassal_regular_tribute_value	2500.0
diplomacy_military_allies_must_be_invited_into_defensive_wars	0.0
diplomacy_military_allies_must_be_invited_into_offensive_wars	0.0
diplomacy_protectors_must_be_invited_into_defensive_wars	0.0
diplomacy_refusing_to_join_client_state_in_defensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_client_state_in_defensive_war_declares_war	0.0
diplomacy_refusing_to_join_defensive_ally_in_defensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_master_in_defensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_master_in_defensive_war_declares_war	1.0
diplomacy_refusing_to_join_master_in_offensive_war_breaks_treaty	0.0
diplomacy_refusing_to_join_master_in_offensive_war_declares_war	1.0
diplomacy_refusing_to_join_military_ally_in_defensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_military_ally_in_offensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_protector_in_defensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_protector_in_defensive_war_declares_war	0.0
diplomacy_refusing_to_join_vassal_in_defensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_vassal_in_defensive_war_declares_war	0.0
diplomacy_refusing_to_join_vassal_in_offensive_war_breaks_treaty	1.0
diplomacy_refusing_to_join_vassal_in_offensive_war_declares_war	0.0
diplomacy_regionless_factions_retain_clients_and_vassals	0.0
diplomacy_show_trespass_message_each_turn	0.0
diplomacy_smallest_payment	300.0
diplomacy_turns_of_embargo_on_break_trade	0.0
diplomacy_use_war_override_messages	1.0
diplomacy_vassals_must_be_invited_into_defensive_wars	1.0
diplomacy_vassals_must_be_invited_into_offensive_wars	1.0
disable_climate_change_event_feed_event	1.0
display_camera_pre_battle_zoom	1.12
display_movement_extents_fade_time	0.3
display_movement_extents_interior_alpha	0.0
display_movement_extents_origin_alpha	0.2
display_movement_extents_origin_fringe_width	1.0
display_movement_extents_owned_border_colour_alpha	255.0
display_movement_extents_owned_border_colour_blue	197.0
display_movement_extents_owned_border_colour_green	240.0
display_movement_extents_owned_border_colour_red	255.0
display_movement_extents_owned_fill_colour_blue	47.0
display_movement_extents_owned_fill_colour_green	195.0
display_movement_extents_owned_fill_colour_red	245.0
display_movement_extents_perimeter_alpha	0.2
display_movement_extents_perimeter_fringe_width	1.0
display_movement_extents_unowned_border_colour_alpha	255.0
display_movement_extents_unowned_border_colour_blue	0.0
display_movement_extents_unowned_border_colour_green	0.0
display_movement_extents_unowned_border_colour_red	5.0
display_movement_extents_unowned_fill_colour_blue	12.0
display_movement_extents_unowned_fill_colour_green	12.0
display_movement_extents_unowned_fill_colour_red	160.0
display_settlement_area_land_border_colour_alpha	255.0
display_settlement_area_land_border_colour_blue	197.0
display_settlement_area_land_border_colour_green	240.0
display_settlement_area_land_border_colour_red	255.0
display_settlement_area_land_fade_time	0.3
display_settlement_area_land_fill_colour_blue	47.0
display_settlement_area_land_fill_colour_green	195.0
display_settlement_area_land_fill_colour_red	245.0
display_settlement_area_land_interior_alpha	0.0
display_settlement_area_land_origin_alpha	0.0
display_settlement_area_land_origin_fringe_width	1.0
display_settlement_area_land_perimeter_alpha	0.05
display_settlement_area_land_perimeter_fringe_width	1.0
display_settlement_area_sea_border_colour_alpha	255.0
display_settlement_area_sea_border_colour_blue	47.0
display_settlement_area_sea_border_colour_green	195.0
display_settlement_area_sea_border_colour_red	245.0
display_settlement_area_sea_fade_time	0.3
display_settlement_area_sea_fill_colour_blue	255.0
display_settlement_area_sea_fill_colour_green	220.0
display_settlement_area_sea_fill_colour_red	220.0
display_settlement_area_sea_interior_alpha	0.0
display_settlement_area_sea_origin_alpha	0.0
display_settlement_area_sea_origin_fringe_width	0.0
display_settlement_area_sea_perimeter_alpha	0.05
display_settlement_area_sea_perimeter_fringe_width	1.0
display_trade_naval_route_colour_enemy_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_enemy_and_neutral_blockaded_green	0.0
display_trade_naval_route_colour_enemy_and_neutral_blockaded_red	255.0
display_trade_naval_route_colour_enemy_and_neutral_blue	0.0
display_trade_naval_route_colour_enemy_and_neutral_green	0.0
display_trade_naval_route_colour_enemy_and_neutral_red	255.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_green	0.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blockaded_red	127.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_blue	0.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_green	0.0
display_trade_naval_route_colour_enemy_blockaded_and_neutral_red	127.0
display_trade_naval_route_colour_enemy_blockaded_blue	0.0
display_trade_naval_route_colour_enemy_blockaded_green	0.0
display_trade_naval_route_colour_enemy_blockaded_red	127.0
display_trade_naval_route_colour_enemy_blue	0.0
display_trade_naval_route_colour_enemy_green	0.0
display_trade_naval_route_colour_enemy_red	255.0
display_trade_naval_route_colour_neutral_blockaded_blue	255.0
display_trade_naval_route_colour_neutral_blockaded_green	255.0
display_trade_naval_route_colour_neutral_blockaded_red	255.0
display_trade_naval_route_colour_neutral_blue	255.0
display_trade_naval_route_colour_neutral_green	255.0
display_trade_naval_route_colour_neutral_red	255.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_green	150.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blockaded_red	255.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_green	150.0
display_trade_naval_route_colour_owned_and_enemy_and_neutral_red	255.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_green	150.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blockaded_red	255.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_green	150.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_and_neutral_red	255.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_green	150.0
display_trade_naval_route_colour_owned_and_enemy_blockaded_red	255.0
display_trade_naval_route_colour_owned_and_enemy_blue	0.0
display_trade_naval_route_colour_owned_and_enemy_green	150.0
display_trade_naval_route_colour_owned_and_enemy_red	255.0
display_trade_naval_route_colour_owned_and_neutral_blockaded_blue	20.0
display_trade_naval_route_colour_owned_and_neutral_blockaded_green	200.0
display_trade_naval_route_colour_owned_and_neutral_blockaded_red	240.0
display_trade_naval_route_colour_owned_and_neutral_blue	20.0
display_trade_naval_route_colour_owned_and_neutral_green	200.0
display_trade_naval_route_colour_owned_and_neutral_red	240.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blockaded_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_and_neutral_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blockaded_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_and_neutral_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blockaded_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_enemy_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_blockaded_red	170.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_blue	0.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_green	140.0
display_trade_naval_route_colour_owned_blockaded_and_neutral_red	170.0
display_trade_naval_route_colour_owned_blockaded_blue	0.0
display_trade_naval_route_colour_owned_blockaded_green	140.0
display_trade_naval_route_colour_owned_blockaded_red	170.0
display_trade_naval_route_colour_owned_blue	20.0
display_trade_naval_route_colour_owned_green	200.0
display_trade_naval_route_colour_owned_red	240.0
display_trade_route_fade_distance	0.8
display_trade_route_fade_time	3000.0
display_trade_route_maximum_flow_scale	0.35
display_trade_route_maximum_flow_time	5000000.0
display_trade_route_maximum_flow_value	500.0
display_trade_route_minimum_flow_scale	0.35
display_trade_route_minimum_flow_time	5000000.0
display_trade_route_minimum_flow_value	0.0
display_trade_route_sea_cost	0.5
display_trade_route_trader_offset	0.15
display_trade_route_trader_speed	0.3
display_zone_of_control_fade_time	0.6
display_zone_of_control_interior_alpha	0.15
display_zone_of_control_origin_alpha	0.3
display_zone_of_control_origin_fringe_width	0.0
display_zone_of_control_owned_border_colour_alpha	255.0
display_zone_of_control_owned_border_colour_blue	0.0
display_zone_of_control_owned_border_colour_green	0.0
display_zone_of_control_owned_border_colour_red	5.0
display_zone_of_control_owned_fill_colour_blue	12.0
display_zone_of_control_owned_fill_colour_green	12.0
display_zone_of_control_owned_fill_colour_red	110.0
display_zone_of_control_perimeter_alpha	0.3
display_zone_of_control_perimeter_fringe_width	1.0
display_zone_of_control_unowned_border_colour_alpha	255.0
display_zone_of_control_unowned_border_colour_blue	0.0
display_zone_of_control_unowned_border_colour_green	0.0
display_zone_of_control_unowned_border_colour_red	5.0
display_zone_of_control_unowned_fill_colour_blue	12.0
display_zone_of_control_unowned_fill_colour_green	12.0
display_zone_of_control_unowned_fill_colour_red	110.0
economic_power_gdp_factor	8000.0
economic_power_max	4.0
economic_power_min	0.2
economic_power_treasury_factor	10000.0
economic_wealth_category_threshold_moderate	2.0
economic_wealth_category_threshold_strong	3.0
economic_wealth_category_threshold_very_strong	4.0
economic_wealth_category_threshold_weak	1.0
economic_wealth_max_amount_moderate	5000.0
economic_wealth_max_amount_strong	7500.0
economic_wealth_max_amount_very_strong	10000.0
economic_wealth_max_amount_very_weak	2000.0
economic_wealth_max_amount_weak	3000.0
economics_additional_tribute_percentage_per_settled_horde_unit	0.5
economics_max_additional_tribute_percentage_for_settled_hordes	10.0
enable_scripted_pathfinding_restrictions	0.0
estate_mission_max_estates	13.0
estate_mission_min_estates	2.0
estate_mission_turns_per_max_estates	3.0
estate_mission_turns_per_min_estates	7.0
faction_gdp_other	250.0
faction_gdp_other_minor	1500.0
faction_leader_honour_effect_acquired_vassal_clan	1.0
faction_leader_honour_effect_assassination_attempt	0.0
faction_leader_honour_effect_becoming_christian	-2.0
faction_leader_honour_effect_being_christian	-1.0
faction_leader_honour_effect_crushing_defeat	-1.0
faction_leader_honour_effect_dishonouring_alliance	-1.0
faction_leader_honour_effect_eradicated_clan	1.0
faction_leader_honour_effect_heroic_victory	1.0
faction_leader_honour_effect_looting_city	-1.0
faction_leader_honour_effect_threatening_with_empty_words	-1.0
faction_leader_management_level_0_to_value	0.0
faction_leader_management_level_1_to_value	0.0
faction_leader_management_level_2_to_value	0.0
faction_leader_management_level_3_to_value	0.0
faction_leader_management_level_4_to_value	0.0
faction_leader_management_level_5_to_value	0.0
faction_leader_management_level_6_to_value	0.0
faction_leader_management_level_7_to_value	0.0
faction_leader_management_level_8_to_value	0.0
faction_leader_management_level_9_to_value	0.0
faction_leader_management_value_mod_abs_monarchy	1.0
faction_leader_management_value_mod_cons_monarchy	0.66
faction_leader_management_value_mod_republic	0.33
family_age_of_adulthood	16.0
family_age_of_guaranteed_adulthood	16.0
family_base_child_chance	20.0
family_base_child_chance_reduction_per_child	5.0
family_base_illegitimate_child_chance	3.0
family_base_illegitimate_child_chance_reduction_per_child	2.0
family_base_wife_chance	30.0
family_bastard_gravitas_limit	5.0
family_bride_search_cost	5.0
family_chance_of_adulthood	100.0
family_emergent_faction_leader_maximum_age	40.0
family_emergent_faction_leader_minimum_age	20.0
family_emergent_wife_maximum_age	40.0
family_husband_decreasing_child_chance_age	30.0
family_husband_decreasing_child_chance_period	5.0
family_husband_decreasing_child_chance_value	1.0
family_infant_mortality_chance_very_young	0.5
family_infant_mortality_chance_young	0.25
family_male_child_chance	65.0
family_maximum_child_chance_decrease_due_to_age	4.0
family_maximum_number_of_children	5.0
family_minimum_hostage_age	5.0
family_retainer_faction_leader_maximum_age	35.0
family_retainer_faction_leader_minimum_age	25.0
family_retainer_wife_maximum_age	25.0
family_rounds_between_bereavement_and_remarriage	4.0
family_rounds_between_children	5.0
family_rounds_between_marriage_and_first_child	3.0
family_rounds_between_wife_offers	4.0
family_turns_before_any_chance_of_adulthood	4.0
family_wife_barren_age	45.0
family_wife_chance_increase_period	8.0
family_wife_chance_increase_value	3.0
food_high	25.0
food_low	-10.0
food_shortage_system_food_cap	150.0
food_shortage_system_food_shortage_cap_global_mod	2.0
food_shortage_system_growth_mod_cap	6.0
food_shortage_system_income_cap	350.0
food_shortage_system_income_scale	0.0
food_shortage_system_local_food_shortages_food_cap	100.0
food_shortage_system_local_food_shortages_penalty_cap_horde	20.0
food_shortage_system_local_food_shortages_penalty_cap_non_horde	20.0
food_shortage_system_morale_mod_cap	5.0
food_shortage_system_replenishment_mod_cap	5.0
food_surplus_town_wealth_multiplier	1.0
food_very_high	50.0
food_very_low	-30.0
game_warning_army_supplies_low	0.2
general_admiral_action_point_bonus	0.1
general_promotion_cost	1000.0
gentleman_happiness_divisor	3.0
gentleman_happiness_negative_limit	-8.0
gentleman_happiness_positive_limit	6.0
gift_base_value_large	7500.0
gift_base_value_medium	2000.0
gift_base_value_small	500.0
happiness_revolution_culture	-1.0
happiness_revolution_neighbour	-3.0
happiness_war_drift	1.0
happiness_war_lower_cap	-15.0
happiness_war_major_defeat	-1.0
happiness_war_major_victory	1.0
happiness_war_region_conquered	4.0
happiness_war_region_lost	-4.0
happiness_war_upper_cap	6.0
horde_host_spawn_development_point_carry_over	4.0
horde_host_spawn_development_point_cost_base	4.0
horde_host_spawn_development_point_cost_current_host_mod	2.0
horde_infighting_ai_food_consumption	5.0
horde_infighting_ai_gdp_mod	-5.0
horde_infighting_food_consumption	10.0
horde_infighting_gdp_mod	-10.0
hostage_turns	8.0
ikko_ikki_incite_revolt_cost	700.0
immigration_capacity	5.0
ivci	500.0
land_unit_starting_num_men_pct	50.0
losing_unit_minimum_strength	0.2
loyalty_1_chance_of_defection	20.0
loyalty_2_chance_of_defection	0.0
loyalty_adjustment_general_married_daughter	1.0
loyalty_adjustment_lost_office_after_gaining_it	-2.0
loyalty_adjustment_lower_level_granted_office	0.0
loyalty_adjustment_son_became_heir	2.0
loyalty_adjustment_son_replaced_as_heir	-3.0
loyalty_risk_low	2.0
max_civilians_at_settlement_development_level	0.0
max_num_civilians_in_non_settlement_battle	0.0
max_num_civilians_in_settlement_battle	0.0
max_siege_equipment	10.0
maximum_attrition_pct	0.15
maximum_faction_leader_honour	0.0
maximum_loyalty	10.0
maximum_town_wealth_level	5.0
migration_religion	0.001
migration_unhappiness	0.01
military_force_building_build_new_development_point_cost_multiplier	1.0
military_force_building_health_attrition_damage_inflicted	0.0
military_force_building_health_attrition_percentage_suffered	1000.0
military_force_building_health_casualties_damage_inflicted	0.25
military_force_building_health_casualties_percentage_suffered	25.0
military_force_building_health_sabotage_damage_inflicted	0.25
military_force_building_health_sabotage_percentage_suffered	25.0
military_force_building_raze_development_point_refund_multiplier	0.5
military_force_building_repair_cost_dev_point_multiplier	0.0
military_force_development_max_development_points	50.0
military_force_development_point_growth_threshold	50.0
military_force_morale_attrition	0.0
military_force_morale_bankruptcy	-8.0
military_force_morale_battle_lost_turns	1.0
military_force_morale_battle_won	3.0
military_force_morale_battle_won_turns	1.0
military_force_morale_bettle_lost	-10.0
military_force_morale_casualties_multiplier	0.25
military_force_morale_decimated	0.0
military_force_morale_decimated_turns	0.0
military_force_morale_faction_leader_death	0.0
military_force_morale_faction_leader_death_turns	0.0
military_force_morale_foriegn_soil	0.0
military_force_morale_idle	0.0
military_force_morale_kings_own	0.0
military_force_morale_looted_settlement_base	10.0
military_force_morale_looted_settlement_max	10.0
military_force_morale_looted_settlement_multiplier	500.0
military_force_morale_looted_settlement_turns	1.0
military_force_morale_low_level	20.0
military_force_morale_raiding	5.0
military_force_morale_released_captives_turns	0.0
military_force_morale_starting_value	60.0
military_force_morale_transfer_penalty_turns	0.0
military_force_slots_auto_repair_damage	1.0
minimum_faction_leader_honour	0.0
minimum_loyalty	0.0
minimum_population	1000.0
minimum_population_after_recruitment	0.0
minimum_religion_support_for_state_religion_change	35.0
mission_result_critical_failure_modifier	30.0
mission_result_critical_success_modifier	200.0
mp_armour_cost_multiplier	1.1
mp_armour_fixed_cost	100.0
mp_weapon_cost_multiplier	1.1
mp_weapon_fixed_cost	100.0
naval_attrition_crew_max_damage	0.25
naval_attrition_crew_min_damage	0.1
naval_attrition_crew_min_pct	0.1
naval_attrition_hull_max_damage	0.35
naval_attrition_hull_min_damage	0.1
naval_attrition_hull_min_pct	0.9
ninja_action_point_bonus	0.04
non_general_faction_leader_starting_honour	3.0
occupation_decision_colonise_conquest_public_order_reduction	-5.0
occupation_decision_colonise_cost	10000.0
occupation_decision_colonise_cost_increase_for_inverse_proportion_of_max_men	1.0
occupation_decision_colonise_cost_reduction_percentage_per_unit	4.0
occupation_decision_colonise_growth_per_unit	10.0
occupation_decision_colonise_public_order_reduction	0.0
occupation_decision_colonise_soldiers_percentage_lost	50.0
occupation_decision_gift_to_another_faction_base_loot_income	0.0
occupation_decision_gift_to_another_faction_conquest_public_order_reduction	5.0
occupation_decision_gift_to_another_faction_public_order_reduction_different_culture	10.0
occupation_decision_gift_to_another_faction_public_order_reduction_same_culture	20.0
occupation_decision_liberate_base_loot_income	0.0
occupation_decision_liberate_conquest_public_order_reduction	0.0
occupation_decision_liberate_public_order_reduction	0.0
occupation_decision_loot_building_damage_percent	25.0
occupation_decision_loot_building_damage_spread_percent	5.0
occupation_decision_loot_conquest_public_order_reduction	20.0
occupation_decision_loot_income_percentage_modifier	-15.0
occupation_decision_occupation_base_loot_income	0.0
occupation_decision_occupation_conquest_public_order_reduction	0.0
occupation_decision_occupation_public_order_reduction_different_culture	0.0
occupation_decision_occupation_public_order_reduction_same_culture	0.0
occupation_decision_raze_base_loot_income	0.0
occupation_decision_raze_conquest_public_order_reduction	50.0
occupation_decision_raze_public_order_reduction	5.0
occupation_decision_raze_without_occupy_base_loot_income	0.0
occupation_decision_raze_without_occupy_conquest_public_order_reduction	0.0
occupation_decision_raze_without_occupy_income_percentage_modifier	-95.0
occupation_decision_raze_without_occupy_public_order_reduction	0.0
occupation_decision_sack_base_loot_income	0.0
occupation_decision_sack_building_damage_percent	50.0
occupation_decision_sack_building_damage_spread_percent	10.0
occupation_decision_sack_conquest_public_order_reduction	0.0
occupation_decision_sack_income_percentage_modifier	-40.0
occupation_decision_sack_public_order_reduction	5.0
occupation_decision_vassal_base_loot_income	0.0
occupation_decision_vassal_public_order_reduction	0.0
passive_spying_region_bonus	2.0
pathfinding_land_to_sea_beach_transition_action_point_cost	1800.0
pathfinding_sea_to_land_beach_transition_action_point_cost	1800.0
percent_siege_duration_to_reach_escalation_2_at_max_strength	100.0
percent_siege_duration_to_reach_escalation_2_at_min_strength	100.0
plague_force_to_force_battle_infectivity_multiplier	1.0
plague_force_to_force_infectivity_multiplier	0.5
plague_force_to_region_infectivity_multiplier	1.0
plague_region_to_force_infectivity_multiplier	0.5
plague_region_to_region_infectivity_multiplier	0.3
plague_sea_to_region_infectivity_multiplier	0.2
plague_trade_to_region_infectivity_multiplier	0.4
policing_automated_cap	4.0
policing_automated_cost_per_pop	0.03
policing_garrison_cap	15.0
politician_bodyguard_replenishment_rate	30.0
politics_action_cost_modifier_on_non_statesmen	1.5
politics_action_prevention_cost_modifier_monachy	1.0
politics_action_prevention_cost_modifier_republic	1.0
politics_intrigue_chance_base	2.0
politics_ministerial_position_cost_modifier	0.0
