id	priority	unit	unit_group
132	100	nor_archers_garrison	nor_great_hall_5
133	100	nor_cavalry_garrison	nor_garr_1
134	100	nor_levy_spearmen_garrison	nor_garr_1
135	100	nor_levy_archers_garrison	nor_garr_1
136	100	nor_spearmen_garrison	nor_garr_2
137	100	nor_archers_garrison	nor_garr_2
138	100	wel_valley_spearmen_garrison	bandit_great_hall_1
139	100	wel_valley_spearmen_garrison	bandit_great_hall_1
140	100	wel_valley_spearmen_garrison	bandit_great_hall_1
141	100	est_fighters_garrison	bandit_great_hall_1
142	100	dan_fyrd_archers_garrison	bandit_great_hall_1
143	100	dan_ceorl_javelinmen_garrison	bandit_great_hall_1
144	100	wel_valley_spearmen_garrison	bandit_great_hall_2
145	100	est_fighters_garrison	bandit_great_hall_3
146	100	dan_fyrd_archers_garrison	bandit_great_hall_4
147	100	dan_ceorl_javelinmen_garrison	bandit_great_hall_5
148	100	est_mailed_horsemen_garrison	bandit_garr_1
149	100	est_fighters_garrison	bandit_garr_1
150	100	wel_valley_spearmen_garrison	bandit_garr_2
151	100	dan_ceorl_javelinmen_garrison	bandit_garr_2
152	100	wel_levy_spearmen_garrison	wel_great_hall_1
153	100	wel_levy_spearmen_garrison	wel_great_hall_1
154	100	wel_levy_spearmen_garrison	wel_great_hall_1
155	100	wel_royal_spearmen_garrison	wel_great_hall_1
156	100	wel_levy_javelinmen_garrison	wel_great_hall_1
157	100	wel_levy_axemen_garrison	wel_great_hall_1
158	100	wel_swordsmen_garrison	wel_great_hall_2
159	100	wel_archers_garrison	wel_great_hall_2
160	100	wel_spearmen_garrison	wel_great_hall_3
161	100	wel_archers_garrison	wel_great_hall_3
162	100	wel_axemen_garrison	wel_great_hall_4
163	100	wel_spearmen_garrison	wel_great_hall_4
164	100	wel_mailed_swordsmen_garrison	wel_great_hall_5
165	100	wel_teulu_spear_guard_garrison	wel_great_hall_5
166	100	wel_longbowmen_garrison	wel_great_hall_5
167	100	wel_spearmen_garrison	wel_garr_1
168	100	wel_levy_axemen_garrison	wel_garr_1
169	100	wel_archers_garrison	wel_garr_1
170	100	wel_spearmen_garrison	wel_garr_2
171	100	wel_levy_javelinmen_garrison	wel_garr_2
